ධ්වනියේ ප්‍රධාන ලාක්ෂණික තුන නම් කරන්න.,"තාරතාව (Pitch), ශබ්දයේ සැර හෝ මියුලතාවය (Loudness) සහ ධ්වනි ගුණය (Timbre)."
ධ්වනියේ තාරතාව (Pitch) ප්‍රධාන වශයෙන් රඳා පවතින්නේ කුමන භෞතික රාශිය මතද?,ධ්වනියේ සංඛ්‍යාතය ($f$) මත.
ධ්වනි සංඛ්‍යාතය වැඩි වන විට තාරතාවට සිදුවන්නේ කුමක්ද?,තාරතාව වැඩි වේ.
සාමාන්‍ය මිනිස් කනකට ඇසිය හැකි ශ්‍රව්‍ය සංඛ්‍යාත පරාසය කොපමණද?,"$20\text{ Hz}$ සිට $20,000\text{ Hz}$ ($20\text{ kHz}$) දක්වා."
සංඛ්‍යාතය $20\text{ Hz}$ ට වඩා අඩු ධ්වනි තරංග හඳුන්වන නම කුමක්ද?,අවධ්වනි (Infrasonic) තරංග.
"සංඛ්‍යාතය $20,000\text{ Hz}$ ට වඩා වැඩි ධ්වනි තරංග හඳුන්වන නම කුමක්ද?",අතිධ්වනි (Ultrasonic) තරංග.
ධ්වනියේ සැර හෝ මියුලතාවය (Loudness) ප්‍රධාන වශයෙන් රඳා පවතින සාධකය කුමක්ද?,ධ්වනි තරංගයේ විස්තාරය ($A$) මත.
ධ්වනියේ සැර රඳා පවතින 'ප්‍රභවයේ ස්වභාවය' හා සම්බන්ධ සාධකයක් නම් කරන්න.,ප්‍රභවයේ පෘෂ්ඨීය වර්ගඵලය.
ධ්වනි ප්‍රභවයේ සිට ඇති දුර වැඩි වන විට ශබ්දයේ සැරට සිදුවන්නේ කුමක්ද?,ශබ්දයේ සැර අඩු වේ.
ධ්වනි තීව්‍රතාව ($I$) සහ විස්තාරය ($A$) අතර සම්බන්ධය කුමක්ද?,$I \propto A^2$.
විවිධ වාද්‍ය භාණ්ඩ මගින් නිකුත් කරන එකම තාරතාවයේ හා එකම සැරේ ශබ්ද වෙන්කර හඳුනා ගැනීමට උදව් වන ලාක්ෂණිකය කුමක්ද?,ධ්වනි ගුණය (Timbre / Quality).
ධ්වනි තීව්‍රතාව යනු කුමක්ද?,ධ්වනිය ප්‍රසාරණය වන දිශාවට ලම්භකව ඇති ඒකක වර්ගඵලයක් හරහා ඒකක කාලයකදී ගලායන ශක්තියයි.
"ශක්තිය ($E$), වර්ගඵලය ($A$) සහ කාලය ($t$) ඇසුරින් ධ්වනි තීව්‍රතාව ($I$) සෙවීමේ සූත්‍රය කුමක්ද?",$I = \frac{E}{At}$.
ක්ෂමතාව ($P$) සහ වර්ගඵලය ($A$) ඇසුරින් ධ්වනි තීව්‍රතාව ($I$) සෙවීමේ සූත්‍රය කුමක්ද?,$I = \frac{P}{A}$.
ලක්ෂ්‍යමය ධ්වනි ප්‍රභවයක සිට $r$ දුරකදී ධ්වනි තීව්‍රතාව ($I$) සෙවීමේ සූත්‍රය කුමක්ද?,$I = \frac{P}{4\pi r^2}$.
ධ්වනි තීව්‍රතාවයේ ($I$) ඒකකය කුමක්ද?,$\text{Wm}^{-2}$ (වොට් පර වර්ග මීටරය).
සාමාන්‍ය මිනිස් කනකට සංවේදනය කළ හැකි අවම ධ්වනි තීව්‍රතාව හඳුන්වන නම කුමක්ද?,ශ්‍රවණ සීමාන්තය (Threshold of hearing).
ශ්‍රවණ සීමාන්තයේ ($I_0$) සම්මත අගය කොපමණද?,$10^{-12} \text{ Wm}^{-2}$.
මිනිස් කනකට වේදනාවකින් තොරව ඇසිය හැකි උපරිම ධ්වනි තීව්‍රතාව හඳුන්වන නම කුමක්ද?,වේදනා සීමාන්තය (Threshold of pain).
වේදනා සීමාන්තයේ අගය කොපමණද?,$1 \text{ Wm}^{-2}$.
ධ්වනි තීව්‍රතා මට්ටම ($\beta$) ගණනය කිරීමේ සූත්‍රය කුමක්ද?,$\beta = 10 \log_{10} \frac{I}{I_0}$.
ධ්වනි තීව්‍රතා මට්ටම ($\beta$) මනිනු ලබන ඒකක මොනවාද?,ඩෙසිබෙල් ($dB$) හෝ බෙල් ($B$).
ධ්වනි තීව්‍රතා මට්ටමේ වෙනස ($\Delta \beta$) සෙවීමේ සූත්‍රය කුමක්ද?,$\Delta \beta = 10 \log_{10} \frac{I_A}{I_B}$.
ධ්වනි තීව්‍රතා මට්ටමේ ($\beta$) මාන මොනවාද?,මාන රහිත රාශියකි.
$\log_{10} 2$ හි දළ අගය කොපමණද?,$0.30$.
$\log_{10} 3$ හි දළ අගය කොපමණද?,$0.47$.
$\log_{10} 5$ හි දළ අගය කොපමණද?,$0.69$.
භූ කම්පන තරංග ප්‍රධාන කාණ්ඩ දෙක කුමක්ද?,දේහ තරංග (Body waves) සහ පෘෂ්ඨීය තරංග (Surface waves).
දේහ තරංග වලට අයත් තරංග වර්ග දෙක මොනවාද?,$P$ තරංග (ප්‍රාථමික) සහ $S$ තරංග (ද්විතීයික).
පෘෂ්ඨීය තරංග වලට අයත් තරංග වර්ග දෙක මොනවාද?,ලව් තරංග (Love waves) සහ රේලි තරංග (Rayleigh waves).
භූ කම්පන මධ්‍යස්ථානයකට ප්‍රථමයෙන්ම ළඟා වන්නේ කුමන තරංග වර්ගයද?,$P$ තරංග (Primary waves).
"ඝන, ද්‍රව සහ වායු යන මාධ්‍ය තුන හරහාම ගමන් කළ හැකි භූ කම්පන තරංගය කුමක්ද?",$P$ තරංග.
ද්විතීයික ($S$) තරංග වල ස්වභාවය කුමක්ද?,එය තීර්යක් තරංගයකි.
ද්විතීයික ($S$) තරංග ගමන් කරන්නේ කුමන මාධ්‍ය හරහා පමණද?,ඝන මාධ්‍ය හරහා පමණි.
පෘෂ්ඨීය තරංග නිපදවෙන්නේ කුමන තරංග වල අන්තර් ක්‍රියා නිසාද?,$P$ තරංග සහ $S$ තරංග වල අන්තර් ක්‍රියා නිසා.
භූ කම්පනයක අපිකේන්ද්‍රය (Epicenter) සෙවීමට යොදා ගන්නේ කුමන දත්තයක්ද?,$P$ තරංග සහ $S$ තරංග ළඟා වීමට ගතවන කාල අන්තරය.
භූ කම්පනයක විශාලත්වය මැනීමට භාවිතා කරන උපකරණය/පරිමාණය කුමක්ද?,රික්ටර් පරිමාණය (Richter scale).
සාගර ජලය මත ඇති වන තරංගයක ප්‍රවේගය ($V$) ගැඹුර ($h$) ඇසුරින් සෙවීමේ සූත්‍රය කුමක්ද?,$V = \sqrt{gh}$.
සුනාමි තරංගයක ප්‍රවේගය වැඩි වන්නේ ගැඹුරු මුහුදේදීද නැතහොත් නොගැඹුරු මුහුදේදීද?,ගැඹුරු මුහුදේදී.
සුනාමි තරංගයක් වෙරළට ළඟා වන විට එහි ප්‍රවේගයට හා විස්තාරයට සිදුවන්නේ කුමක්ද?,ප්‍රවේගය අඩු වන අතර විස්තාරය විශාල ලෙස වැඩි වේ.
LASER යන්නෙහි සම්පූර්ණ අර්ථය ලියන්න.,Light Amplification by Stimulated Emission of Radiation.
ලේසර් කිරණ නිපදවීමේදී සිදුවන මූලික පියවර තුන කුමක්ද?,"අවශෝෂණය, ස්වයංසිද්ධ විමෝචනය සහ උත්තේජිත විමෝචනය."
