පිරිසිදු අර්ධ සන්නායක ස්ඵටිකයක් (Intrinsic Semiconductor) සෑදී ඇත්තේ ආවර්තිතා වගුවේ කිනම් කාණ්ඩයට අයත් මූලද්‍රව්‍යයකින්ද?,14 කාණ්ඩයට (උදා: සිලිකන් හෝ ජර්මේනියම්).
$n$-ප්‍රතිබද්ධ අර්ධ සන්නායකයක් ලබා ගැනීම සඳහා 14 කාණ්ඩයේ මූලද්‍රව්‍යයකට මාත්‍රණය (Doping) කළ යුතු මූලද්‍රව්‍ය කාණ්ඩය කුමක්ද?,15 කාණ්ඩයේ මූලද්‍රව්‍ය.
$p$-ප්‍රතිබද්ධ අර්ධ සන්නායකයක බහුතර ආරෝපණ වාහකයන් (Majority carriers) ලෙස ක්‍රියා කරන්නේ කුමක්ද?,කුහර ($+$ ආරෝපිත වාහක).
සිලිකන් ($Si$) වලින් නිම වූ $p-n$ සන්ධියක බාධක විභවය (Barrier potential) සාමාන්‍යයෙන් කිනම් අගයක් ගනීද?,$0.6V - 0.7V$ අතර අගයක්.
$p-n$ සන්ධියක් පසු නැඹුරු (Reverse Bias) අවස්ථාවේදී සන්ධිය හරහා ගලන ඉතා කුඩා ධාරාව හඳුන්වන නම කුමක්ද?,කාන්දු ධාරාව (Leakage current) හෙවත් සුළුතර වාහක ධාරාව.
ඩයෝඩයක් පෙර නැඹුරු (Forward Bias) අවස්ථාවේ පවතින විට එහි ප්‍රතිරෝධය කෙබඳුද?,ඉතා අඩු ප්‍රතිරෝධයක් පවතී.
සීනර් බිඳ වැටීම (Zener Breakdown) සිදුවන්නේ ඩයෝඩය කිනම් නැඹුරු අවස්ථාවක පවතින විටද?,පසු නැඹුරු (Reverse Bias) අවස්ථාවකදී.
ඩයෝඩයක VI ලාක්ෂණික වක්‍රයේ ජර්මේනියම් ($Ge$) සඳහා දණහිස් විභවය (Knee voltage) දළ වශයෙන් කොපමණද?,$0.2V - 0.3V$ පමණ වේ.
අර්ධ තරංග සෘජුකරණයකදී (Half-wave rectification) ප්‍රතිදාන වෝල්ටීයතාවයේ සාමාන්‍ය අගය ($V_{avg}$) සඳහා සමීකරණය කුමක්ද?,$V_{avg} = \frac{V_{max}}{\pi}$
පූර්ණ තරංග සෘජුකරණයකදී (Full-wave rectification) ප්‍රතිදාන වෝල්ටීයතාවයේ වර්ග මධ්‍යන්‍ය මූල අගය ($V_{rms}$) සොයන සමීකරණය කුමක්ද?,$V_{rms} = \frac{V_{max}}{\sqrt{2}}$
"ඩයෝඩයක් යාන්ත්‍රික ස්විචයක් ලෙස ක්‍රියා කරන විට, එය 'විවෘත ස්විචයක්' ලෙස හැසිරෙන්නේ කිනම් නැඹුරු අවස්ථාවේදීද?",පසු නැඹුරු (Reverse Bias) අවස්ථාවේදී.
ප්‍රත්‍යාවර්ත වෝල්ටීයතාවයක් සරල ධාරා වෝල්ටීයතාවයක් බවට පත් කිරීමේ ක්‍රියාවලිය හඳුන්වන නම කුමක්ද?,සෘජුකරණය (Rectification).
සෘජුකරණයකදී ලැබෙන ප්‍රතිදාන තරංගයේ රැළිති (Ripples) අවම කර සුමට ප්‍රතිදානයක් ලබා ගැනීමට භාවිතා කරන උපාංගය කුමක්ද?,ධාරිත්‍රකය (Capacitor).
සීනර් ඩයෝඩයක් පරිපථයකට සම්බන්ධ කරනු ලබන්නේ කිනම් නැඹුරුතාවයකින්ද?,පසු නැඹුරු (Reverse Bias) අවස්ථාවෙන්.
ආලෝක විමෝචක ඩයෝඩයක් (LED) ආලෝකය නිකුත් කරන්නේ කිනම් නැඹුරු අවස්ථාවක පවතින විටද?,පෙර නැඹුරු (Forward Bias) අවස්ථාවේදී.
ප්‍රකාශ ඩයෝඩයක් (Photodiode) සාමාන්‍යයෙන් පරිපථයක ක්‍රියා කරවනු ලබන්නේ කිනම් නැඹුරුතාවයකින්ද?,පසු නැඹුරු (Reverse Bias) අවස්ථාවෙන්.
බයිපෝලර් සන්ධි ට්‍රාන්සිස්ටරයක (BJT) පර්යන්ත (Terminals) තුන නම් කරන්න.,"විමෝචකය (Emitter), පදම (Base), සහ සංග්‍රාහකය (Collector)."
"ට්‍රාන්සිස්ටරයක විමෝචක ධාරාව ($I_E$), පදම ධාරාව ($I_B$) සහ සංග්‍රාහක ධාරාව ($I_C$) අතර සම්බන්ධතාවය කුමක්ද?",$I_E = I_B + I_C$
ට්‍රාන්සිස්ටරයක් වර්ධකයක් (Amplifier) ලෙස ක්‍රියා කිරීමට නම් $BE$ සන්ධිය සහ $BC$ සන්ධිය පැවතිය යුතු නැඹුරු අවස්ථා මොනවාද?,$BE$ සන්ධිය පෙර නැඹුරු විය යුතු අතර $BC$ සන්ධිය පසු නැඹුරු විය යුතුය.
"ට්‍රාන්සිස්ටරයක පොදු විමෝචක ධාරා ලාභය (Current Gain, $\beta$) අර්ථ දක්වන්නේ කෙසේද?",$\beta = \frac{I_C}{I_B}$
ට්‍රාන්සිස්ටරයක් 'සන්තෘප්ත කලාපයේ' (Saturation region) පවතින විට එය කිනම් ආකාරයේ ස්විචයක් ලෙස ක්‍රියා කරයිද?,සංවෘත (Closed) ස්විචයක් ලෙස.
