කාර්යය අර්ථ දක්වනු ලබන්නේ කෙසේද?,බලයක් මගින් බලයේ දිශාවට විස්ථාපනයක් සිදු කිරීම කාර්යය ලෙස හැඳින්වේ.
"බලය $F$ ද, බලයේ දිශාවට සිදු වූ විස්ථාපනය $s$ ද නම් සිදු කළ කාර්යය ($W$) සෙවීමේ සූත්‍රය කුමක්ද?",$W = Fs$
බලය හා විස්ථාපනය අතර කෝණය $\theta$ වන විට කාර්යය ($W$) සෙවීමේ සූත්‍රය කුමක්ද?,$W = s \times F \cos \theta$
කාර්යය මැනීමේ SI ඒකකය කුමක්ද?,ජූල් ($J$) හෙවත් නිව්ටන් මීටර ($Nm$)
කාර්යය අදිශ රාශියක් ද දෛශික රාශියක් ද?,අදිශ රාශියකි.
බලය හා විස්ථාපනය එකිනෙකට ලම්බකව පවතින විට සිදු වන කාර්යය කොපමණද?,ශුන්‍යයකි ($0$).
ලම්බක බලයකින් කාර්යයක් සිදු නොවීමට හේතුව කුමක්ද?,බලය හා විස්ථාපනය අතර කෝණය $90^{\circ}$ වන බැවින් $\cos 90^{\circ} = 0$ වීමයි.
$1 \text{ kWh}$ යනු ජූල් ($J$) කීයකට සමානද?,$3.6 \times 10^{6} \text{ J}$
$1 \text{ eV}$ (ඉලෙක්ට්‍රෝන වෝල්ට්) ජූල් වලින් අගය කොපමණද?,$1.6 \times 10^{-19} \text{ J}$
$1 \text{ Cal}$ (කැලරි 1ක්) යනු ජූල් කොපමණද?,$4.2 \text{ J}$
ධන (+) කාර්යයක් සිදු වූ විට වස්තුවක ශක්තියට ($E$) සිදු වන්නේ කුමක්ද?,වස්තුවේ ශක්තිය වැඩි වේ.
වස්තුවක් මගින් යම් බලයකට විරුද්ධව කාර්යය කළ විට එය හඳුන්වන්නේ කුමන කාර්යයක් ලෙසද?,සෘණ (-) කාර්යය.
වස්තුවක් මත සෘණ (-) කාර්යයක් සිදු වූ විට එහි ශක්තියට සිදු වන්නේ කුමක්ද?,වස්තුවේ ශක්තිය අඩු වේ.
බල-විස්ථාපන ($F-s$) ප්‍රස්ථාරයකින් කාර්යය සොයා ගන්නේ කෙසේද?,ප්‍රස්ථාරය සහ $s$ අක්ෂය අතර වර්ගඵලය මගිනි.
ශක්තිය යනු කුමක්ද?,කාර්යය කිරීමේ හැකියාව ශක්තිය ලෙස හැඳින්වේ.
යාන්ත්‍රික ශක්තිය ප්‍රධාන කොටස් දෙකකට බෙදේ. ඒවා මොනවාද?,චාලක ශක්තිය ($E_k$) සහ විභව ශක්තිය ($E_p$).
යාන්ත්‍රික ශක්ති සංස්ථිතිය අනුව $E_p + E_k$ හි අගය කුමක්ද?,එය නියතයකි ($k$).
චාලක ශක්තිය ($E_k$) ඇති වන්නේ වස්තුවක කුමන ලක්ෂණය නිසාද?,වස්තුවේ චලිතය (ප්‍රවේගය) නිසාය.
ස්කන්ධය $m$ හා ප්‍රවේගය $v$ වන වස්තුවක චාලක ශක්තිය ($E_k$) සෙවීමේ සූත්‍රය කුමක්ද?,$E_k = \frac{1}{2} mv^2$
"චාලක ශක්තිය ($E_k$), ගම්‍යතාව ($P$) ඇසුරින් ප්‍රකාශ කරන සූත්‍රය කුමක්ද?",$E_k = \frac{P^2}{2m}$
"චාලක ශක්තිය, ගම්‍යතාව ($P$) සහ ප්‍රවේගය ($V$) ඇසුරින් ලියන්න.",$E_k = \frac{1}{2} PV$
විභව ශක්තිය ($E_p$) ඇති වන්නේ වස්තුවක කුමන ලක්ෂණය නිසාද?,වස්තුවේ පිහිටීම නිසාය.
ගුරුත්වාකර්ෂණ විභව ශක්තිය ($E_p$) සෙවීමේ සූත්‍රය කුමක්ද?,$E_p = mgh$
$E_p = mgh$ සූත්‍රයේ $h$ මගින් අදහස් වන්නේ කුමක්ද?,සම්මත මට්ටමේ සිට ඇති සිරස් උසයි.
ප්‍රත්‍යාස්ථතාවය යනු කුමක්ද?,"බාහිර බලයක් නිසා හැඩය වෙනස් වූ වස්තුවක්, බලය ඉවත් කළ පසු නැවත මුල් හැඩයට පත්වීමේ ගුණයයි."
ප්‍රත්‍යාස්ථ බලය ($F$) සහ විතතිය ($e$) අතර සම්බන්ධය දක්වන හූක් නියමය කුමක්ද?,$F = -ke$
$F = -ke$ සූත්‍රයේ $k$ මගින් හඳුන්වන්නේ කුමක්ද?,ප්‍රත්‍යාස්ථ නියතය (Spring constant).
