මැනිය හැකි විශාලත්වයක් සහිත රාශි හැඳින්වීමට යොදන පොදු නම කුමක්ද?,භෞතික රාශි
වෙනත් භෞතික රාශීන් භාවිත කර වඩාත් සරලව අර්ථ දැක්විය නොහැකි භෞතික රාශි වර්ගය කුමක්ද?,මූලික භෞතික රාශි
විදුත් ධාරාව මැනීම සඳහා භාවිත කරන $SI$ මූලික ඒකකය සහ එහි සංකේතය කුමක්ද?,ඇම්පියරය ($A$)
තාපගතික උෂ්ණත්වය මැනීම සඳහා භාවිත කරන $SI$ මූලික ඒකකය කුමක්ද?,කෙල්විනය ($K$)
ද්‍රව්‍ය ප්‍රමාණය මැනීම සඳහා භාවිත කරන මූලික ඒකකය කුමක්ද?,මෝලය ($mol$)
දීප්ත තීව්‍රතාවය මැනීමේ $SI$ ඒකකය සහ එහි සංකේතය කුමක්ද?,කැන්ඩෙලා ($cd$)
තල කෝණය මැනීම සඳහා භාවිත කරන පරිපූරක ඒකකය කුමක්ද?,රේඩියනය ($rad$)
ඝන කෝණය මැනීම සඳහා භාවිත කරන පරිපූරක ඒකකය කුමක්ද?,ස්ටෙරේඩියනය ($Sr$)
මූලික භෞතික රාශි ඇසුරෙන් සාදාගනු ලබන රාශි හඳුන්වන නම කුමක්ද?,ව්‍යුත්පන්න භෞතික රාශි
බලය මැනීම සඳහා භාවිත කරන විශේෂ නාමයක් සහිත ව්‍යුත්පන්න ඒකකය කුමක්ද?,නිව්ටනය ($N \text{ හෝ } kgms^{-2}$)
කාර්යය හෝ ශක්තිය මැනීමට භාවිත කරන ව්‍යුත්පන්න ඒකකය කුමක්ද?,ජූල් ($J \text{ හෝ } kgm^2s^{-2}$)
$10^{15}$ අගය නිරූපණය කරන ඒකක උපසර්ගය සහ එහි සංකේතය කුමක්ද?,පේටා ($P$)
ටෙරා ($tera$) උපසර්ගයට අදාල 10යේ බලය කුමක්ද?,$10^{12}$
$10^{-9}$ අගය නිරූපණය කරන ඒකක උපසර්ගය කුමක්ද?,නැනෝ ($nano$)
පිකෝ ($pico$) උපසර්ගයට අදාල සංකේතය සහ අගය ලියන්න.,$p$ සහ $10^{-12}$
ෆෙම්ටෝ ($femto$) උපසර්ගයට අදාල අගය කුමක්ද?,$10^{-15}$
විද්‍යාඥයෙකුගේ නමකින් සකස් වූ ඒකක සංකේතයක් ලිවීමේදී අනුගමනය කළ යුතු ප්‍රධාන නීතිය කුමක්ද?,පළමු අකුර පමණක් $Capital$ වලින් දැක්විය යුතුය.
උපසර්ගය සහ ඒකකය අතර හිස්තැනක් තැබිය යුතුද?,නැත (හිස්තැනක් නොතැබිය යුතුය).
