බොයිල් නියමය (Boyle's Law) වලංගු වීම සඳහා වායුවක නියතව පැවතිය යුතු සාධක මොනවාද?,වායුවේ ස්කන්ධය ($m$) සහ උෂ්ණත්වය ($T$).
බොයිල් නියමයට අදාළ ගණිතමය ප්‍රකාශනය කුමක්ද?,$PV = k$ (මෙහි $k$ නියතයකි).
බොයිල් නියමයේ $PV = k$ සමීකරණයේ $k$ නියතයේ අගය රඳා පවතින සාධක මොනවාද?,වායුවේ මවුල ගණන ($n$) සහ උෂ්ණත්වය ($T$).
බොයිල් නියමයේ $k$ නියතය පරිපූර්ණ වායු නියත ඇසුරින් ප්‍රකාශ කරන්නේ කෙසේද?,$k = nRT$
චාල්ස්ගේ $V$ ප්‍රසාරණ නියමය වලංගු වීමට නියතව පැවතිය යුතු භෞතික රාශි මොනවාද?,වායුවේ ස්කන්ධය ($m$) සහ පීඩනය ($P$).
චාල්ස්ගේ නියමයට අනුව වායුවක පරිමාව ($V$) සහ නිරපේක්ෂ උෂ්ණත්වය ($T$) අතර සම්බන්ධතාවය කුමක්ද?,$V = kT$ (පරිමාව නිරපේක්ෂ උෂ්ණත්වයට සෘජුව සමානුපාතික වේ).
$\theta ^\circ \text{C}$ උෂ්ණත්වයකදී වායුවක පරිමාව සෙවීමේ සමීකරණය $V_0$ ඇසුරින් ලියන්න.,$V_{\theta} = V_0(1 + \gamma_p \theta)$
චාල්ස්ගේ නියමයේ පරිමාව ප්‍රසාරණ සංගුණකය වන $\gamma_p$ හි අගය කොපමණද?,$\frac{1}{273} \text{ } ^\circ \text{C}^{-1}$
චාල්ස්ගේ නියමයේ $V = kT$ සමීකරණයේ $k$ නියතය වායු නියත ඇසුරින් ලියන්න.,$k = \frac{nR}{P}$
පීඩන ප්‍රසාරණ නියමය (Pressure Law) වලංගු වීමට නියතව පැවතිය යුතු සාධක මොනවාද?,වායුවේ ස්කන්ධය ($m$) සහ පරිමාව ($V$).
පීඩන ප්‍රසාරණ නියමයට අනුව පීඩනය ($P$) සහ නිරපේක්ෂ උෂ්ණත්වය ($T$) අතර සම්බන්ධය කුමක්ද?,$P = kT$
