චුම්බක ක්ෂේත්‍රයක් යනු කුමක්ද?,චුම්බක බල ක්‍රියාත්මක වන ප්‍රදේශය 'චුම්බක ක්ෂේත්‍රය' ලෙස හඳුන්වයි.
මාලිමා කටුවක උත්තර ධ්‍රැවය සෑම විටම පාහේ යොමු වන්නේ කුමන දිශාවටද?,භූගෝලීය උතුරු දිශාවට.
චුම්බක ක්ෂේත්‍රයක තබා ඇති ධාරාවක් ගෙන යන සන්නායකයක් මත බලයක් හට ගැනීමට හේතුව කුමක්ද?,සන්නායකයේ ධාරාව නිසා ඇති වන ක්ෂේත්‍රය හා බාහිර චුම්බක ක්ෂේත්‍රය අතර අන්තර් ක්‍රියාකාරිත්වයයි.
චුම්බක ප්‍රාවහ ඝනත්වය ($B$) යන්නෙන් අදහස් කරන්නේ කුමක්ද?,චුම්බක ක්ෂේත්‍රයක ප්‍රබලතාවය හෙවත් තීව්‍රතාවයයි.
චුම්බක ක්ෂේත්‍රයකට $ \theta $ කෝණයකින් ආනතව තබා ඇති ධාරා අංශු මාත්‍රයක් ($ I \Delta l $) මත බලය සඳහා වන සම්බන්ධතාවය කුමක්ද?,$ F \propto I \Delta l \sin \theta $.
චුම්බක ප්‍රාවහ ඝනත්වය ($ B $) අර්ථ දක්වන සමීකරණය කුමක්ද?,$ B = \frac{F}{I \Delta l \sin \theta} $.
චුම්බක ප්‍රාවහ ඝනත්වයේ ($ B $) අන්තර්ජාතික ($ SI $) ඒකය කුමක්ද?,ටෙස්ලා ($ T $) හෙවත් $ N A^{-1} m^{-1} $.
චුම්බක ක්ෂේත්‍රයට ලම්බකව තැබූ ඒකක ධාරාවක් ගලා යන ඒකක දිගැති සන්නායකයක් මත බලය හඳුන්වන්නේ කුමන නමකින්ද?,චුම්බක ප්‍රාවහ ඝනත්වය.
චුම්බක ක්ෂේත්‍රයකට සමාන්තරව ($ \theta = 0^\circ $) ධාරාවක් ගලා යන විට සන්නායකය මත ක්‍රියා කරන බලය කොපමණද?,බලය ශූන්‍ය වේ ($ F = 0 $).
ධාරාවක් ගෙන යන සන්නායකයක් මත බලය උපරිම වන්නේ කුමන අවස්ථාවේදීද?,සන්නායකය චුම්බක ක්ෂේත්‍රයට ලම්බකව ($ \theta = 90^\circ $) ඇති විටය.
සෘජු සන්නායකයක් වටා ඇති චුම්බක ක්ෂේත්‍රයේ දිශාව සෙවීමට භාවිතා කරන නියමය කුමක්ද?,මැක්ස්වෙල්ගේ දක්ෂිණාවර්ත මූ ඇබ නීතිය (Maxwell's Right Hand Grip Rule).
