රේඛීය ප්‍රසාරණතාව ($\alpha$) සඳහා වන සමීකරණය කුමක්ද?,$\alpha = \frac{\Delta l}{l_0 \theta}$
පෘෂ්ඨික ප්‍රසාරණතාව ($\beta$) අර්ථ දක්වන සමීකරණය කුමක්ද?,$\beta = \frac{\Delta A}{A_0 \theta}$
පරිමා ප්‍රසාරණතාව ($\gamma$) සඳහා වන සමීකරණය සඳහන් කරන්න.,$\gamma = \frac{\Delta V}{V_0 \theta}$
$\alpha$ සහ $\beta$ අතර පවතින සම්බන්ධතාවය කුමක්ද?,$\beta = 2\alpha$
$\alpha$ සහ $\gamma$ අතර පවතින සම්බන්ධතාවය කුමක්ද?,$\gamma = 3\alpha$
උෂ්ණත්ව වෙනස $\theta$ වන විට දිගෙහි වැඩීම ($\Delta l$) සෙවීමේ සමීකරණය කුමක්ද?,$\Delta l = l \alpha \theta$
වර්ගඵලයෙහි වැඩීම ($\Delta A$) සෙවීම සඳහා භාවිතා කරන සූත්‍රය කුමක්ද?,$\Delta A = A \beta \theta$
පරිමාවෙහි වැඩීම ($\Delta V$) ගණනය කිරීමේ සූත්‍රය කුමක්ද?,$\Delta V = V \gamma \theta$
නව උෂ්ණත්වයකදී වස්තුවක නව දිග ($l_2$) සෙවීමේ සමීකරණය කුමක්ද?,$l_2 = l(1 + \alpha \theta)$
නව උෂ්ණත්වයකදී වස්තුවක නව වර්ගඵලය ($A_2$) සෙවීමේ සමීකරණය කුමක්ද?,$A_2 = A(1 + \beta \theta)$
නව උෂ්ණත්වයකදී වස්තුවක නව පරිමාව ($V_2$) සෙවීමේ සමීකරණය කුමක්ද?,$V_2 = V(1 + \gamma \theta)$
වස්තුවක සාපේක්ෂ දිග ප්‍රසාරණය (Fractional expansion) යනු කුමක්ද?,$\frac{\Delta l}{l}$ හෙවත් $\alpha \theta$
වර්ගඵලයෙහි ප්‍රතිශත ප්‍රසාරණය සෙවීමේ සූත්‍රය කුමක්ද?,$\frac{\Delta A}{A} \times 100\%$ හෙවත් $\beta \theta \times 100\%$
ඝන වස්තුවක ඇති සිදුරක් රත් කළ විට එහි පරිමාවට සිදුවන්නේ කුමක්ද?,සිදුර ද ඝන ද්‍රව්‍යය මෙන්ම ප්‍රසාරණය වේ.
"ද්විලෝහ පටියක රේඛීය ප්‍රසාරණතා $\alpha_1 > \alpha_2$ නම්, එය රත් කළ විට නැවෙන්නේ කිනම් දෙසටද?",ප්‍රසාරණතාව අඩු ලෝහය ($\alpha_2$) ඇති දෙසට.
