ප්‍රකාශ උපකරණයක් වන අන්වීක්ෂය (Microscope) භාවිතා කරනු ලබන ප්‍රධාන කාර්යය කුමක්ද?,ළඟ පිහිටි කුඩා වස්තූන් විශාල කර බැලීම.
ප්‍රක්ෂේප උපකරණයක් හෙවත් දුරේක්ෂයක් (Telescope) භාවිතා කිරීමේ මූලික අරමුණ කුමක්ද?,ඈත පිහිටි විශාල වස්තූන් විශාල කර බැලීම.
දෘෂ්ටි කෝණය (Visual angle) $\alpha$ යනු කුමක්ද?,වස්තුවක් මගින් ඇසේ ප්‍රකාශ මධ්‍යයේ සාදනු ලබන කෝණය.
"දෘෂ්ටි කෝණය ($\alpha$) ඉතා කුඩා වන විට, වස්තුවේ උස $h$ සහ වස්තුවට ඇති දුර $d$ ඇසුරෙන් $\alpha$ සඳහා ලැබෙන ආසන්න සමීකරණය කුමක්ද?",$\alpha = \frac{h}{d}$ (රේඩියන් වලින්).
රේඛීය විශාලනය ($m$) යනු වස්තුවේ උස ($h$) සහ ප්‍රතිබිම්බයේ උස ($h'$) අතර පවතින කුමන අනුපාතයද?,$m = \frac{h'}{h}$.
කෝණික විශාලනය ($M$) අර්ථ දැක්වෙන පොදු සමීකරණය ලියන්න.,$M = \frac{\alpha'}{\alpha}$ (මෙහි $\alpha'$ යනු උපකරණය මගින් ඇස මත සාදන කෝණයයි).
සරල අන්වීක්ෂයක සාමාන්‍ය හුරුකිරීමේදී (ප්‍රතිබිම්බය $D$ දුරින් ඇති විට) විශාලනය ($M$) සඳහා සමීකරණය කුමක්ද?,$M = \frac{D}{f} + 1$.
සරල අන්වීක්ෂයක ප්‍රතිබිම්බය අනන්තයේ සෑදෙන විට විශාලනය ($M$) සෙවීමේ සමීකරණය කුමක්ද?,$M = \frac{D}{f}$.
සංයුක්ත අන්වීක්ෂයක සාමාන්‍ය හුරුකිරීමේදී ($D$ දුරින් ප්‍රතිබිම්බය සෑදෙන විට) විශාලනය සඳහා වන සමීකරණය කුමක්ද?,$M = (\frac{v_o}{f_o} - 1)(\frac{D}{f_e} + 1)$.
සංයුක්ත අන්වීක්ෂයක ප්‍රතිබිම්බය අනන්තයේ සෑදෙන විට විශාලනය ($M$) සඳහා සමීකරණය කුමක්ද?,$M = (\frac{v_o}{f_o} - 1)(\frac{D}{f_e})$.
සාමාන්‍ය දුරේක්ෂයක (Astronomical Telescope) සාමාන්‍ය හුරුකිරීමේදී කෝණික විශාලනය ($M$) සඳහා වන සමීකරණය කුමක්ද?,$M = \frac{f_o}{f_e}$.
සාමාන්‍ය හුරුකිරීමේ පවතින දුරේක්ෂයක කාච අතර පරතරය හෙවත් නළයේ දිග ($L$) සෙවීමේ සමීකරණය ලියන්න.,$L = f_o + f_e$.
සංයුක්ත අන්වීක්ෂයක විශාලනය වැඩි කිරීම සඳහා අවසාන ප්‍රතිබිම්බය _____ ලක්ෂ්‍යයේ සෑදෙන සේ හුරු කළ යුතුය.,අවිදුර (Near point / $D$)
නිරෝගී ඇසක අවිදුර ලක්ෂ්‍යය (Near point) දක්වා පවතින සම්මත දුර ($D$) කොපමණද?,$25\text{ cm}$.
නිරෝගී ඇසක දුර ලක්ෂ්‍යය (Far point) පිහිටා ඇත්තේ කොහේද?,අනන්තයේ.
වස්තුවේ දුර අනුව ඇස් කාචයේ නාභීය දුර වෙනස් කරමින් පැහැදිලි ප්‍රතිබිම්බ ලබා ගැනීමේ හැකියාව හඳුන්වන නම කුමක්ද?,සමවය (Accommodation).
ඇස අනන්තය දෙස බලන විට (දුර බැලීමේදී) ඇස් කාචයේ බලය සහ නාභීය දුර කෙබඳුද?,බලය අවම වන අතර නාභීය දුර උපරිම වේ.
ඇස අවිදුර ලක්ෂ්‍යය දෙස බලන විට (ළඟ බැලීමේදී) ඇස් කාචයේ බලය සහ නාභීය දුර කෙබඳුද?,බලය උපරිම වන අතර නාභීය දුර අවම වේ.
නිරෝගී ඇසක උපරිම නාභීය දුර ඇසේ කුමන මිනුමකට සමාන විය යුතුද?,ඇස් ගෝලයේ විෂ්කම්භයට.
අවිදුර දෘෂ්ටිකත්වය (Short-sightedness) ඇති අයෙකුට පැහැදිලිව නොපෙනෙන්නේ කෙබඳු වස්තූන්ද?,ඈත ඇති වස්තූන්.
"අවිදුර දෘෂ්ටිකත්වය ඇති ඇසක, අනන්තයේ සිට එන සමාන්තර කිරණ ප්‍රතිබිම්බය සාදන්නේ කොහේද?",දෘෂ්ටි විතානයට ඉදිරියෙන්.
අවිදුර දෘෂ්ටිකත්වයට හේතුවන ඇස් ගෝලයේ අසාමාන්‍යතාවය කුමක්ද?,ඇස් ගෝලය දිගින් වැඩි වීම.
අවිදුර දෘෂ්ටිකත්වය නිවැරදි කිරීම සඳහා භාවිතා කරනු ලබන කාච වර්ගය කුමක්ද?,අවතල කාච (Concave lens).
දුර දෘෂ්ටිකත්වය (Long-sightedness) ඇති අයෙකුට පැහැදිලිව නොපෙනෙන්නේ කෙබඳු වස්තූන්ද?,ළඟ ඇති වස්තූන්.
"දුර දෘෂ්ටිකත්වය ඇති ඇසක, ළඟ ඇති වස්තුවක ප්‍රතිබිම්බය සාදන්නේ කොහේද?",දෘෂ්ටි විතානයට පිටුපසින්.
දුර දෘෂ්ටිකත්වයට හේතුවන ඇස් ගෝලයේ අසාමාන්‍යතාවය කුමක්ද?,ඇස් ගෝලය දිගින් අඩු වීම (කෙටි වීම).
දුර දෘෂ්ටිකත්වය නිවැරදි කිරීම සඳහා භාවිතා කරනු ලබන කාච වර්ගය කුමක්ද?,උත්තල කාච (Convex lens).
ඇස් කාචයේ වක්‍රතාවයේ පවතින අක්‍රමිකතාවයක් නිසා ඇසේ සමහර කොටස් නොපෙනී යාම හඳුන්වන නම කුමක්ද?,අසමදෘෂ්ටිකත්වය (Astigmatism).
අසමදෘෂ්ටිකත්වය (Astigmatism) නිවැරදි කිරීම සඳහා භාවිතා කළ යුතු විශේෂ කාච වර්ගය කුමක්ද?,සිලින්ඩරාකාර කාච (Cylindrical lenses).
වයසට යාමත් සමඟ ළඟ ඇති වස්තූන් නොපෙනී යාම (40 ඇඳිරිය) නිවැරදි කිරීමට _____ කාච භාවිතා කරයි.,අභිසාරී / උත්තල (Convex / Converging)
