ද්‍රවයක් ගලා යාමට එරෙහිව එම ද්‍රවය මඟින්ම ඇති කරනු ලබන අභ්‍යන්තර ඝර්ෂණ බලය හඳුන්වන නම කුමක්ද?,ද්‍රුස්‍යතාවය (Viscosity)
නලයක් දෙකෙළවර පීඩන අන්තරය ඉතා වැඩි වූ විට ද්‍රවයක් කලඹෙමින් ගලා යන ප්‍රවාහය හඳුන්වන්නේ කුමන නමකින්ද?,ආකුල (Turbulent) ප්‍රවාහය
"ද්‍රවයක ප්‍රවාහ රේඛා එකිනෙක ඡේදනය නොවී, ක්‍රමවත් රටාවකට සිදුවන ප්‍රවාහය හඳුන්වන්නේ කුමන නමකින්ද?",අනාකුල (Streamline) ප්‍රවාහය
නලයක් තුළින් ද්‍රවයක් අනාකුල ලෙස ගලා යන විට උපරිම ප්‍රවේගය පවතින්නේ නලයේ කුමන ස්ථානයකද?,නලයේ මධ්‍ය අක්ෂය මත
නලයක් තුළින් අනාකුල ලෙස ද්‍රවයක් ගලා යන විට නල බිත්තිය හා ස්පර්ශව ඇති ද්‍රව ස්තරයේ ප්‍රවේගය කොපමණද?,ශුන්‍යයකි
ද්‍රව ස්තර දෙකක් අතර ප්‍රවේග වෙනස ($ \Delta v $) හා ස්තර අතර ලම්බ දුර ($ d $) අතර අනුපාතය හඳුන්වන නම කුමක්ද?,ප්‍රවේග අනුක්‍රමණය ($ \frac{\Delta v}{d} $)
"ද්‍රව ස්තර දෙකක් අතර ඇති වන ද්‍රුස්‍ය බලය ($ F $), ස්පර්ශ වර්ගඵලය ($ A $) හා ප්‍රවේග අනුක්‍රමණය ($ \frac{\Delta v}{d} $) ඇසුරෙන් දක්වන නිව්ටන් සමීකරණය ලියන්න.",$ F = \eta A \frac{\Delta v}{d} $
නිව්ටන්ගේ ද්‍රුස්‍යතා සමීකරණයේ එන $ \eta $ මඟින් නිරූපණය වන භෞතික රාශිය කුමක්ද?,ද්‍රුස්‍යතා සංගුණකය
නිව්ටන්ගේ ද්‍රුස්‍යතා නියමයට අනුකූලව හැසිරෙන ද්‍රව හඳුන්වන්නේ කුමන නමකින්ද?,නිව්ටෝනියානු ද්‍රව
ද්‍රුස්‍යතා සංගුණකයේ ($ \eta $) SI ඒකකය කුමක්ද?,$ N s m^{-2} $ (හෝ $ kg m^{-1} s^{-1} $)
ද්‍රුස්‍යතා සංගුණකයේ ($ \eta $) මාන ලියන්න.,$ M L^{-1} T^{-1} $
කේෂික නලයක් තුළින් ද්‍රවයක් ගලා යාමේ ශීඝ්‍රතාවය සඳහා වන පොයිසෙල්ගේ (Poiseuille) සමීකරණය ලියන්න.,$ \frac{V}{t} = \frac{\pi a^4 \Delta p}{8 \eta l} $
පොයිසෙල්ගේ සමීකරණයේ $ \Delta p $ මඟින් නිරූපණය වන්නේ කුමක්ද?,නලයේ දෙකෙළවර පීඩන අන්තරය
පොයිසෙල්ගේ සමීකරණය වලංගු වීමට නම් ද්‍රව ප්‍රවාහය _____ විය යුතුය.,අනාකුල (හෝ ආස්තරීය)
පොයිසෙල්ගේ සමීකරණය වලංගු වීමට නම් ද්‍රවය _____ විය යුතුය.,අසම්පිඩ්‍ය (Incompressible)
පොයිසෙල්ගේ සමීකරණය භාවිත කිරීමේදී නලය පවතිය යුතු ආකාරය පිළිබඳ කොන්දේසිය කුමක්ද?,නලය තිරස්ව හා සිහින්ව (කේෂික) පැවතිය යුතුය.
ද්‍රුස්‍ය මාධ්‍යයක් තුළ චලනය වන ගෝලිකා වස්තුවක් මත ඇති වන ද්‍රුස්‍ය ස්පර්ශ බලය ($ F $) සඳහා ස්ටෝක්ස් නියමය ලියන්න.,$ F = 6 \pi \eta a v $
ස්ටෝක්ස් නියමයේ එන $ a $ හා $ v $ මඟින් නිරූපණය වන්නේ කුමක්ද?,$ a $ යනු ගෝලයේ අරය වන අතර $ v $ යනු ගෝලයේ ප්‍රවේගයයි.
ස්ටෝක්ස් නියමය වලංගු වීමට නම් වස්තුවේ හැඩය කෙබඳු විය යුතුද?,කුඩා ගෝලීය හැඩයක් විය යුතුය.
"වස්තුවක් ද්‍රුස්‍ය මාධ්‍යයක නිදහසේ වැටෙන විට, එය ලබා ගන්නා උපරිම නියත ප්‍රවේගය හඳුන්වන නම කුමක්ද?",ආන්ත ප්‍රවේගය (Terminal velocity)
ස්ටෝක්ස් නියමය යෙදීම සඳහා මාධ්‍යයේ ස්වභාවය කෙබඳු විය යුතුද?,මාධ්‍යය නිශ්චල හා අපරිමිත (විශාල පරිමාවක්) විය යුතුය.
ද්‍රවයක් තුළින් පහළට වැටෙන ගෝලයක් ආන්ත ප්‍රවේගයට පත් වූ විට ඒ මත ක්‍රියා කරන සම්ප්‍රයුක්ත බලය කොපමණද?,ශුන්‍යයකි
"ද්‍රවයක් තුළ පහළට වැටෙන ගෝලයක් ආන්ත ප්‍රවේගයේ ඇති විට, බර ($ W $), උඩුකුරු තෙරපුම ($ U $) හා ද්‍රුස්‍ය බලය ($ F $) අතර සම්බන්ධය ලියන්න.",$ W = U + F $
"ඝනත්වය $ \rho $ වන ගෝලයක්, ඝනත්වය $ \sigma $ වන ද්‍රවයක් තුළ පහළට වැටෙන විට ආන්ත ප්‍රවේගය ($ v $) සඳහා වන සූත්‍රය ලියන්න.",$ v = \frac{2 a^2}{9 \eta} (\rho - \sigma) g $
ආන්ත ප්‍රවේගය ($ v $) සහ ගෝලයේ අරය ($ a $) අතර ඇති සම්බන්ධතාවය කුමක්ද?,$ v \propto a^2 $ (ප්‍රවේගය අරයේ වර්ගයට සමානුපාතික වේ)
ද්‍රවයක උෂ්ණත්වය වැඩි වන විට එහි ද්‍රුස්‍යතාවයට සිදුවන්නේ කුමක්ද?,ද්‍රුස්‍යතාවය අඩු වේ.
වාහන එන්ජින්වල ස්පර්ශ වන ලෝහ කොටස් අතර ඝර්ෂණය අවම කිරීමට භාවිත කරන්නේ කුමක්ද?,ද්‍රුස්‍යතාවය වැඩි ලිහිස්සි තෙල්
ලිහිස්සි තෙල්වල ද්‍රුස්‍යතා පරාසය හැඳින්වීමට මෝටර් රථ ඉංජිනේරු සංගමය (SAE) භාවිත කරන ක්‍රමය කුමක්ද?,SAE අංකිත ක්‍රමය
SAE අංකය වැඩි වන විට ලිහිස්සි තෙල්වල ද්‍රුස්‍යතාවයට සිදුවන්නේ කුමක්ද?,ද්‍රුස්‍යතාවය වැඩි වේ.
"ගෝලයක් ද්‍රවයක් තුළ ඉහළට ගමන් කරන්නේ නම් (උදා: වායු බුබුළක්), එම අවස්ථාවේ ද්‍රුස්‍ය බලය ක්‍රියා කරන්නේ කුමන දිශාවටද?",පහළට (චලිත දිශාවට ප්‍රතිවිරුද්ධව)
ද්‍රව ස්තර දෙකක් අතර සාපේක්ෂ ප්‍රවේගය පවතින විට පමණක් හටගන්නා බලය කුමක්ද?,ද්‍රුස්‍ය බලය
