ආලෝක වර්තනය යනු කුමක්ද?,එක් විනිවිද පෙනෙන මාධ්‍යයක සිට තවත් මාධ්‍යයකට ආලෝක කිරණයක් ගමන් කිරීමේදී එහි දිශාව වෙනස් වීමයි.
වර්තනය පිළිබඳ ස්නෙල් (Snell) ගේ පළමු නියමය කුමක්ද?,"පතන කිරණය, වර්තන කිරණය සහ පතන ලක්ෂ්‍යයේදී ඇඳි අභිලම්භය යන තුනම එකම තලයක පිහිටයි."
ස්නෙල් නියමයට අනුව පළමු මාධ්‍යයට සාපේක්ෂව දෙවන මාධ්‍යයේ වර්තනාංකය ($_1n_2$) ගණනය කරන සූත්‍රය කුමක්ද?,$_1n_2 = \frac{\sin i}{\sin r}$
නිරපේක්ෂ වර්තනාංකය ($n$) අර්ථ දක්වන්නේ කෙසේද?,ශුන්‍යයේදී (හෝ වාතයේදී) ආලෝකයේ වේගය සහ අදාළ මාධ්‍යය තුළ ආලෝකයේ වේගය අතර අනුපාතයයි.
"නිරපේක්ෂ වර්තනාංකය සඳහා වන සමීකරණය $n$ සහ $c, v$ ඇසුරින් දක්වන්න.",$n = \frac{c}{v}$
නිරපේක්ෂ වර්තනාංකය ($n$) සැමවිටම 1 ට වඩා වැඩි වන්නේ ඇයි?,"ආලෝකයේ උපරිම වේගය ශුන්‍යය තුළ පවතින නිසාත් ($c > v$), එම අනුපාතය සැමවිටම 1 ට වඩා වැඩි වන නිසාත්ය."
වීදුරු වල නිරපේක්ෂ වර්තනාංකයේ ($n_g$) අගය භාගයක් ලෙස දක්වන්න.,$\frac{3}{2}$
වීදුරු වල නිරපේක්ෂ වර්තනාංකයේ ($n_g$) දශම අගය කුමක්ද?,$1.5$
ජලයේ නිරපේක්ෂ වර්තනාංකයේ ($n_w$) අගය භාගයක් ලෙස දක්වන්න.,$\frac{4}{3}$
ජලයේ නිරපේක්ෂ වර්තනාංකයේ ($n_w$) දශම අගය කුමක්ද?,$1.33$
සාපේක්ෂ වර්තනාංකය 1 ට වඩා අඩු විය හැකිද?,"ඔව්, සාපේක්ෂ වර්තනාංකය 1 ට වඩා අඩු විය හැකිය."
වර්තනාංකය සහ තරංග ආයාමය අතර පවතින සම්බන්ධතාවය කුමක්ද?,$n \lambda = k$ (නියතයකි)
වර්තනාංකය සහ මාධ්‍යයක් තුළ ආලෝකයේ වේගය අතර පවතින සම්බන්ධතාවය කුමක්ද?,$nv = k$ (නියතයකි)
$n \sin i = k$ යන සම්බන්ධතාවය හඳුන්වන නම කුමක්ද?,වර්තනය සඳහා වූ සාධාරණ නියමය
සාපේක්ෂ වර්තනාංක දෙකක් අතර පවතින ප්‍රතිලෝම සම්බන්ධතාවය $_1n_2$ සහ $_2n_1$ ඇසුරින් දක්වන්න.,$_1n_2 = \frac{1}{_2n_1}$
"$_1n_2$ යන්න නිරපේක්ෂ වර්තනාංක ($n_1, n_2$) ඇසුරින් ප්‍රකාශ කරන්න.",$_1n_2 = \frac{n_2}{n_1}$
ආලෝක ප්‍රත්‍යාවර්තීතා මූලධර්මය යනු කුමක්ද?,ආලෝක කිරණයක ගමන් මග ප්‍රතිනැවූ විට එය පැමිණි මග ඔස්සේම ආපසු ගමන් කිරීමයි.
වර්තනයේදී සිදුවන අපගමන කෝණය ($d$) ගණනය කරන්නේ කෙසේද?,$d = | \text{පතන කෝණය} - \text{වර්තන කෝණය} |$
