තාප විකිරණය ප්‍රචාරණය වීම සඳහා ද්‍රව්‍යමය මාධ්‍යයක් අවශ්‍ය වේද?,"නැත, තාප විකිරණය ප්‍රචාරණය වීමට ද්‍රව්‍යමය මාධ්‍යයක් අවශ්‍ය නොවේ."
ශූන්‍ය අවකාශය (Vacuum) තුළ තාප විකිරණ ගමන් කරන වේගය කොපමණද?,ආලෝකයේ වේගයට සමාන වේගයකින් ($3 \times 10^8 m s^{-1}$) ගමන් කරයි.
තාප විකිරණවල තීව්‍රතාව ($I$) ප්‍රභවයේ සිට ඇති දුර ($r$) මත රඳා පවතින්නේ කෙසේද?,තීව්‍රතාව දුරෙහි වර්ගයට ප්‍රතිලෝමව සමානුපාතික වේ ($I \propto \frac{1}{r^2}$).
ලෙස්ලි ඝනකයක පෘෂ්ඨ හතර අතුරින් වැඩිම තාප ප්‍රමාණයක් විමෝචනය කරන්නේ කුමන වර්ගයේ පෘෂ්ඨයද?,මළ දුම් (Dull black) තැවරූ පෘෂ්ඨය.
කෘෘක්ස් විකිරණමානය (Crooke's radiometer) භාවිතා කරනු ලබන්නේ කුමක් සඳහාද?,තාප විකිරණය ආදර්ශනය කිරීම සඳහා.
ප්‍රෙවොස්ට්ගේ තාප හුවමාරු වාදයට අනුව වස්තුවක් තාපජ සමතුලිතතාවයක පවතින අවස්ථාව විස්තර කරන්න.,වස්තුව මගින් තාපය විමෝචනය කරන සීඝ්‍රතාව සහ පරිසරයෙන් තාපය අවශෝෂණය කරන සීඝ්‍රතාව සමාන වීමයි.
කාෂ්ණ වස්තුවක් (Black body) යනු කුමක්ද?,තමා මත පතනය වන සියලුම තරංග ආයාමවලට අයත් විකිරණ සම්පූර්ණයෙන්ම අවශෝෂණය කරගන්නා වස්තුවකි.
වීන්ගේ විස්ථාපන නියමය (Wien's displacement law) සඳහා වන ගණිතමය ප්‍රකාශනය කුමක්ද?,$\lambda_m T = constant$
වීන්ගේ නියතයේ අගය ඒකක සහිතව දක්වන්න.,$2.898 \times 10^{-3} m K$
ස්ටෙෆාන්ගේ නියමය (Stefan's law) අනුව කාෂ්ණ වස්තුවක ඒකක වර්ගඵලයකින් විමෝචනය වන තාප විකිරණ ශක්ති සීඝ්‍රතාව ($E$) සහ නිරපේක්ෂ උෂ්ණත්වය ($T$) අතර සම්බන්ධය කුමක්ද?,$E = \sigma T^4$
