කාච ප්‍රධාන වශයෙන් වර්ග දෙකකට බෙදිය හැකිය. ඒ මොනවාද?,අභිසාරී (උත්තල) කාච සහ අපසාරී (අවතල) කාච.
කාචයක නාභීය දුර ($f$) කෙරෙහි බලපාන බාහිර මාධ්‍යයේ ලක්ෂණය කුමක්ද?,බාහිර මාධ්‍යයේ වර්තනාංකය ($n$).
කාචයක නාභීය දුර ($f$) තීරණය වන කාචයේ ද්‍රව්‍යයට අදාළ සාධකය කුමක්ද?,කාචය සාදා ඇති ද්‍රව්‍යයේ වර්තනාංකය ($n$).
"කාචයක වක්‍රතා අරය ($r$) අඩු වන විට, එහි නාභීය දුරට ($f$) සිදු වන්නේ කුමක්ද?",නාභීය දුර අඩු වේ.
කාචයක පෘෂ්ඨ දෙකෙහි වක්‍රතා අරයයන් නාභීය දුර කෙරෙහි බලපාන්නේ කෙසේද?,වක්‍රතා අරය අඩු වන විට නාභීය දුර අඩු වන අතර වක්‍රතා අරය වැඩි වන විට නාභීය දුර වැඩි වේ.
ද්වී උත්තල කාචයක හැඩය විස්තර කරන්න.,පෘෂ්ඨ දෙකම පිටතට නෙරා ඇති කාචයකි.
එක් පෘෂ්ඨයක් තල වන අතර අනෙක් පෘෂ්ඨය පිටතට නෙරා ඇති කාචය හඳුන්වන නම කුමක්ද?,තල උත්තල කාචය.
"එක් පෘෂ්ඨයක් ඇතුළට ගිලී ඇති අතර අනෙක් පෘෂ්ඨය පිටතට නෙරා ඇති, මැද ඝනකම වැඩි කාචය කුමක්ද?",අවතල උත්තල කාචය.
ද්වී අවතල කාචයක හැඩය විස්තර කරන්න.,පෘෂ්ඨ දෙකම ඇතුළට ගිලී ඇති කාචයකි.
තල අවතල කාචයක ඇති පෘෂ්ඨ දෙකෙහි ස්වභාවය කුමක්ද?,එක් පෘෂ්ඨයක් තල වන අතර අනෙක් පෘෂ්ඨය ඇතුළට ගිලී පවතී.
උත්තල අවතල කාචයක මැද ඝනකම සහ දාරයේ ඝනකම සැසඳූ විට කුමක් පැවසිය හැකිද?,කාචයේ මැද ඝනකම දාරයට වඩා අඩුය.
ප්‍රධාන අක්ෂයට සමාන්තරව එන ආලෝක කිරණ වර්තනයෙන් පසු එක් ලක්ෂ්‍යයකට නාභිගත වන නාභිය හඳුන්වන නම කුමක්ද?,ප්‍රධාන නාභිය.
ප්‍රධාන අක්ෂයට ආනතව සමාන්තරව එන කිරණ නාභිගත වන තලයේ පවතින ලක්ෂ්‍යය කුමක්ද?,අතිරේක නාභිය.
