රේඛීය ගම්‍යතා සංරක්ෂණ නියමය ප්‍රකාශ වීමට නම් පද්ධතියක් මත ක්‍රියා කරන බාහිර අසමතුලිත බලය කොපමණ විය යුතුද?,$0$ විය යුතුය.
බාහිර අසමතුලිත බලයක් ක්‍රියා නොකරන විට පද්ධතියක ආරම්භක ගම්‍යතාව සහ අවසාන ගම්‍යතාව අතර සම්බන්ධය කුමක්ද?,ආරම්භක ගම්‍යතාව $=$ අවසාන ගම්‍යතාව.
"ගුරුත්වාකර්ෂණය යටතේ වස්තුවක් චලනය වන විට, සිරස් දිශාවට රේඛීය ගම්‍යතා සංරක්ෂණ නියමය යෙදිය හැකිද?",නැත.
ගුරුත්වාකර්ෂණය යටතේ සිරස් දිශාවට ගම්‍යතාව සංරක්ෂණය නොවීමට හේතුව කුමක්ද?,සිරස් දිශාවට $mg$ නම් බාහිර අසමතුලිත බලයක් ක්‍රියා කිරීමයි.
ගුරුත්වාකර්ෂණය යටතේ චලනය වන වස්තුවකට තිරස් දිශාවට රේඛීය ගම්‍යතා සංරක්ෂණ නියමය යෙදිය හැක්කේ ඇයි?,තිරස් දිශාවට බාහිර අසමතුලිත බලයක් ක්‍රියා නොකරන බැවිනි.
යාන්ත්‍රික ශක්ති හානියක් සිදු නොවන ගැටුම් වර්ගය කුමක්ද?,ප්‍රත්‍යස්ථ ගැටුම්.
අප්‍රත්‍යස්ථ ගැටුමකදී යාන්ත්‍රික ශක්තියට කුමක් සිදුවේද?,යාන්ත්‍රික ශක්ති හානියක් සිදුවේ.
වස්තූන් ගැටීමෙන් පසු එකට ඇලී පොදු ප්‍රවේගයකින් ගමන් කරන ගැටුම් වර්ගය කුමක්ද?,පූර්ණ අප්‍රත්‍යස්ථ ගැටුම්.
පූර්ණ අප්‍රත්‍යස්ථ ගැටුමකින් පසු වස්තූන් අතර සාපේක්ෂ ප්‍රවේගය කොපමණද?,$0$ වේ.
තෙත මැටි බෝලයක් බිත්තියක වැදී ඇලී නතර වීම කුමන වර්ගයේ ගැටුමකට උදාහරණයක්ද?,පූර්ණ අප්‍රත්‍යස්ථ ගැටුම්.
වස්තූන් දෙකක් අතර ප්‍රවේග හුවමාරුවක් සිදු වීමට නම් එම වස්තූන් දෙකේ ස්කන්ධයන් කෙබඳු විය යුතුද?,ස්කන්ධයන් සර්වසම ($m$) විය යුතුය.
සර්වසම වස්තූන් දෙකක් අතර ප්‍රවේග හුවමාරුවක් සිදු වීමට නම් ගැටුම කෙබඳු එකක් විය යුතුද?,ප්‍රත්‍යස්ථ ගැටුමක් විය යුතුය.
ප්‍රවේග හුවමාරුවක් සිදු වන ගැටුමක මාර්ගය කෙබඳු විය යුතුද?,එය රේඛීය ගැටුමක් විය යුතුය.
තුවක්කුවකින් උණ්ඩයක් නිකුත් වීමට පෙර පද්ධතියේ මුළු ගම්‍යතාව කොපමණද?,$0$ වේ.
තුවක්කුවකින් උණ්ඩයක් නිකුත් වූ පසු තුවක්කුව පසුපසට චලනය වන්නේ ඇයි?,මුළු ගම්‍යතාව ශුන්‍යව පවත්වා ගැනීම සඳහා උණ්ඩයේ ගම්‍යතාවයට සමාන හා ප්‍රතිවිරුද්ධ ගම්‍යතාවක් ඇති කිරීමටයි.
"චලනය වන පද්ධතියකින් වස්තුවක් නිදහස් වූ විට, නිදහස් වූ මොහොතේ එම වස්තුවේ තිරස් ප්‍රවේගය කුමක්ද?",එය පද්ධතියේ ප්‍රවේගයට ($v$) සමාන වේ.
"නිශ්චලව ඇති වස්තුවක් පිපිරී කොටස් වලට වෙන් වූ පසු, එම කොටස් වල ගම්‍යතාවල දෛශික එකතුව කොපමණ විය යුතුද?",$0$ විය යුතුය.
"පිපිරීමකට ලක්වන වස්තුවක් පිපිරීමට පෙර චලනය වෙමින් පවතී නම්, පිපිරීමෙන් පසු මුළු ගම්‍යතාව කුමකට සමානද?",පිපිරීමට පෙර තිබූ ආරම්භක ගම්‍යතාවයට සමාන වේ.
පද්ධතියක් තුළ සිදු වන අභ්‍යන්තර චලිතයන් වලදී පද්ධතියේ මුළු ගම්‍යතාව වෙනස් වේද?,"නැත, එය සංරක්ෂණය වේ."
පද්ධතියක් තුළ චලනය වන වස්තූන් සියල්ලම අවසානයේදී පද්ධතියට සාපේක්ෂව නිශ්චල වුවහොත් පද්ධතියේ අවසාන ප්‍රවේගය කෙබඳුද?,එය මුළු පද්ධතියේම පොදු ප්‍රවේගයක් ලෙස පවතී.
රේඛීය ගම්‍යතාව යනු කුමන භෞතික රාශි දෙකක ගුණිතයද?,ස්කන්ධය සහ ප්‍රවේගය.
අප්‍රත්‍යස්ථ ගැටුමකදී හානි වන යාන්ත්‍රික ශක්තිය සාමාන්‍යයෙන් පිටවන්නේ කුමන ආකාර වලින්ද?,තාපය හෝ ශබ්දය ලෙස.
ගම්‍යතා සංරක්ෂණ නියමය යෙදිය හැකි වන්නේ පද්ධතිය මත බාහිර _____ බලය ශුන්‍ය වන විට පමණි.,අසමතුලිත
ගැටුමකදී චාලක ශක්තිය සංරක්ෂණය වන්නේ නම් එය _____ ගැටුමකි.,ප්‍රත්‍යස්ථ
පූර්ණ අප්‍රත්‍යස්ථ ගැටුමක ප්‍රධාන ලක්ෂණය වන්නේ ගැටුමෙන් පසු වස්තූන් _____ වීමයි.,එකට ඇලී චලනය
තුවක්කුවක් පත්තු කිරීමේදී ගම්‍යතා සංරක්ෂණය පෙන්වීමට ගන්නා උපකල්පනය කුමක්ද?,තිරස් දිශාවට බාහිර බල ක්‍රියා නොකරන බව.
සර්වසම වස්තූන් දෙකක් රේඛීයව ප්‍රත්‍යස්ථව ගැටෙන විට සිදුවන විශේෂ සංසිද්ධිය කුමක්ද?,ප්‍රවේග හුවමාරුව.
"වස්තුවක ගම්‍යතාවය $P$ ලෙසත්, ස්කන්ධය $m$ හා ප්‍රවේගය $v$ ලෙසත් ගත් විට $P$ සඳහා සමීකරණය කුමක්ද?",$P = mv$
සිරස් දිශාවට වස්තුවක ගම්‍යතාව වෙනස් වීමට බලපාන ප්‍රධාන බලය කුමක්ද?,වස්තුවේ බර ($mg$).
පද්ධතියක 'පෙර ගම්‍යතාව = පසු ගම්‍යතාව' යන ප්‍රකාශය හැඳින්වෙන්නේ කුමන නියමය ලෙසද?,රේඛීය ගම්‍යතා සංරක්ෂණ නියමය.
චලනය වන කරත්තයක සිටින මිනිසෙකු ඉදිරියට ඇවිදින විට කරත්තයේ ප්‍රවේගය වෙනස් වන්නේ ඇයි?,පද්ධතියේ මුළු ගම්‍යතාව සංරක්ෂණය විය යුතු බැවිනි.
"ස්කන්ධය $m_1$ වූ වස්තුවක් $u_1$ ප්‍රවේගයෙන් ගොස් ස්කන්ධය $m_2$ වූ නිශ්චල වස්තුවක වැදී ඇලී ගමන් කරයි නම්, පොදු ප්‍රවේගය ($V$) සඳහා සමීකරණය කුමක්ද?",$m_1 u_1 = (m_1 + m_2)V$
පිපිරීමකදී අභ්‍යන්තර බල මගින් ගම්‍යතාව වෙනස් කළ නොහැක්කේ ඇයි?,අභ්‍යන්තර බල යුගල වශයෙන් ක්‍රියා කරමින් එකිනෙක අවලංගු වන බැවිනි.
පද්ධතියක් මත ක්‍රියා කරන සම්ප්‍රයුක්ත බාහිර බලය ශුන්‍ය වන දිශාවකට පද්ධතියේ _____ සංරක්ෂණය වේ.,රේඛීය ගම්‍යතාව
"ස්කන්ධය $M$ වූ තුවක්කුවකින් $m$ ස්කන්ධයක් ඇති උණ්ඩයක් $v$ ප්‍රවේගයෙන් නිකුත් කරන විට තුවක්කුවේ පසුබැසීමේ ප්‍රවේගය $V$ නම්, $V$ සොයන ආකාරය දක්වන්න.",$MV + mv = 0 \Rightarrow V = -\frac{mv}{M}$
ප්‍රත්‍යස්ථ ගැටුමකදී සංරක්ෂණය වන භෞතික රාශි දෙකක් නම් කරන්න.,රේඛීය ගම්‍යතාව සහ චාලක ශක්තිය.
අප්‍රත්‍යස්ථ ගැටුමකදී සංරක්ෂණය වන එකම රාශිය කුමක්ද?,රේඛීය ගම්‍යතාව පමණි.
වස්තූන් දෙකක් ගැටීමේදී ඒවා මත ක්‍රියා කරන බලයන් _____ බලයන් ලෙස හැඳින්වේ.,අභ්‍යන්තර
තිරස් තලයක් මත චලනය වන පද්ධතියක අභ්‍යන්තර චලිතයක් නිසා මුළු පද්ධතියේම ගම්‍යතාව වෙනස් නොවේ. මෙය සත්‍යයක්ද? අසත්‍යයක්ද?,සත්‍යයකි.
"වස්තුවක් නිශ්චලව තිබී කොටස් දෙකකට පිපිරී යයි නම්, එම කොටස් දෙක ගමන් කරන දිශාවන් කෙබඳුද?",එකිනෙකට ප්‍රතිවිරුද්ධ දිශාවන්ට.
