ප්‍රත්‍යාස්ථතාව (Elasticity) යනු කුමක්ද?,බාහිර බලයක් යොදා විරූපණය කළ වස්තුවක එම බලය ඉවත් කළ විට නැවත මුල් පිහිටීමට පැමිණීමේ ගුණයයි.
අප්‍රත්‍යාස්ථ ද්‍රව්‍ය (Inelastic materials) ලෙස හඳුන්වන්නේ කුමන ද්‍රව්‍යද?,බාහිර බලයක් ඉවත් කළ විට නැවත තම මුල් හැඩය ලබාගත නොහැකි ද්‍රව්‍ය වේ.
ද්‍රව්‍යයක දැඩි බව (Hardness) යනු කුමන ආකාරයේ ගුණයක්ද?,ද්‍රව්‍යයක යාන්ත්‍රික ගුණයකි.
කම්බියක් ඇදීමේදී සිදුවන විරූපණය කුමන වර්ගයට අයත් වේද?,ඒකමාන විරූපණය (One-dimensional deformation).
වස්තුවක පරිමාව වෙනස් වීම හඳුන්වන විරූපණ වර්ගය කුමක්ද?,ත්‍රිමාන විරූපණය (Three-dimensional deformation).
හුක් නියමය (Hooke's Law) වලංගු වන්නේ කුමන සීමාව තුළ පමණද?,සමානුපාතික සීමාව (Proportional limit) තුළ පමණි.
හුක් නියමය ප්‍රකාශ කරන $F = ke$ සමීකරණයේ $k$ යනු කුමක්ද?,කම්බියේ බල නියතය (Force constant).
බල නියතයේ ($k$) $SI$ ඒකකය කුමක්ද?,$N m^{-1}$
කම්බියක ඇතිවන විතතිය ($e$) රඳා පවතින සාධක හතරක් සඳහන් කරන්න.,"කම්බියේ ද්‍රව්‍යය, යොදන බලය, හරස්කඩ වර්ගඵලය සහ මුල් දිග."
ප්‍රත්‍යාස්ථතා සීමාව (Elastic limit) යනු කුමක්ද?,වස්තුවක් මත යොදන බලය ඉවත් කළ විට එය නැවත මුල් දිගම ලබා ගන්නා උපරිම සීමාවයි.
ප්‍රත්‍යාස්ථතා මාපාංකය (Modulus of Elasticity) නිර්වචනය කරන්නේ කෙසේද?,ප්‍රත්‍යාස්ථ සීමාව තුළදී ප්‍රත්‍යාබලය හා වික්‍රියාව අතර අනුපාතය ලෙසයි.
ප්‍රත්‍යාබලය (Stress) යනු කුමක්ද?,ඒකක හරස්කඩ වර්ගඵලයක් මත ක්‍රියා කරන ආතති බලයයි.
ප්‍රත්‍යාබලය ගණනය කරන සමීකරණය කුමක්ද?,$\text{ප්‍රත්‍යාබලය} = \frac{F}{A}$
ප්‍රත්‍යාබලයේ $SI$ ඒකකය කුමක්ද?,$N m^{-2}$ හෝ $Pa$ (පැස්කල්).
වික්‍රියාව (Strain) යනු කුමක්ද?,වස්තුවක ඒකක දිගක සිදුවන විතතියයි.
වික්‍රියාව ගණනය කරන සමීකරණය කුමක්ද?,$\text{වික්‍රියාව} = \frac{e}{l}$
වික්‍රියාව සඳහා පවතින ඒකක මොනවාද?,එය අනුපාතයක් බැවින් ඒකක රහිත වේ.
යං මාපාංකය (Young's Modulus) යනු කුමක්ද?,ප්‍රත්‍යාස්ථ සීමාව තුළ ආතති ප්‍රත්‍යාබලය හා ආතති වික්‍රියාව අතර අනුපාතයයි.
යං මාපාංකය ($Y$) සඳහා වන සංකේතාත්මක සමීකරණය ලියන්න.,$Y = \frac{F/A}{e/l}$
යං මාපාංකයේ මාන (Dimensions) මොනවාද?,$ML^{-1}T^{-2}$
වානේ වල යං මාපාංකයේ අගය කොපමණද?,$2.0 \times 10^{11} N m^{-2}$
යං මාපාංකය ද්‍රව්‍යයේ ජ්‍යාමිතික හැඩය මත රඳා පවතීද?,"නැත, එය රඳා පවතින්නේ ද්‍රව්‍යයේ ස්වභාවය මත පමණි."
ප්‍රත්‍යාබල-වික්‍රියා ප්‍රස්ථාරයක සමානුපාතික සීමාව දක්වන ලක්ෂ්‍යය කුමක්ද?,$A$ ලක්ෂ්‍යය.
ප්‍රත්‍යාබල-වික්‍රියා ප්‍රස්ථාරයක අවනති ලක්ෂ්‍යය (Yield point) ලෙස හඳුන්වන්නේ කුමන ලක්ෂ්‍යයද?,$B$ ලක්ෂ්‍යය.
ප්‍රස්ථාරයක භේදක ප්‍රත්‍යාබලය (Breaking stress) යනු කුමක්ද?,කම්බියක් කැඩී යාමට පෙර ඔරොත්තු දෙන උපරිම ප්‍රත්‍යාබලයයි.
ප්‍රත්‍යාස්ථ සීමාවෙන් ඔබ්බට බලයක් යෙදූ විට වස්තුවක සිදුවන විරූපණය හඳුන්වන්නේ කුමන නමකින්ද?,සුප්ලාස්ටික් විරූපණය (Plastic deformation).
ස්ථිර විකෘතියක් (Permanent set) ලෙස ප්‍රස්ථාරයේ හඳුන්වන්නේ කුමක්ද?,ප්‍රත්‍යාස්ථ සීමාව ඉක්මවා බලය ඉවත් කළ විට ඉතිරි වන විතතියයි ($OE$ කොටස).
කම්බියක විතතිය මැනීමට ව'නියර් පරිමාණයක් භාවිතා කරන්නේ ඇයි?,විතතිය ඉතා කුඩා අගයක් බැවින් එය නිරවද්‍යව මැනීමටය.
යං මාපාංකය සෙවීමේ පරීක්ෂණයේදී සමාන කම්බි දෙකක් (P සහ Q) භාවිතා කරන්නේ ඇයි?,උෂ්ණත්ව වෙනස්වීම් නිසා සිදුවන ප්‍රසාරණ දෝෂ මගහරවා ගැනීමටය.
විතතිය ($e$) එදිරිව ස්කන්ධය ($m$) ප්‍රස්ථාරයක අනුක්‍රමණය සමාන වන්නේ කුමකටද?,$\frac{lg}{YA}$
ඇදි කම්බියක ගබඩා වී ඇති ප්‍රත්‍යාස්ථ විභව ශක්තිය ($U$) සෙවීමේ සමීකරණය කුමක්ද?,$U = \frac{1}{2}Fe$ (මෙහි $F$ යනු අවසාන බලයයි).
බලය ($F$) එදිරිව විතතිය ($e$) ප්‍රස්ථාරයේ ප්‍රස්ථාරය යට වර්ගඵලයෙන් දැක්වෙන්නේ කුමක්ද?,කම්බියේ ගබඩා වී ඇති ශක්තියයි.
දෙකෙළවරින් සවි කළ දණ්ඩක් රත් කළ විට ඇතිවන තෙරපුම් බලය සෙවීමේ සමීකරණය කුමක්ද?,$F = YA\alpha\theta$
තාපජ බල සමීකරණයේ $\alpha$ මගින් හඳුන්වන්නේ කුමක්ද?,ද්‍රව්‍යයේ රේඛීය ප්‍රසාරණතාව.
තාපජ බල සමීකරණයේ $\theta$ මගින් හඳුන්වන්නේ කුමක්ද?,උෂ්ණත්ව වෙනස.
පාලම් වල බාල්ක වල උඩ පැත්ත සහ යට පැත්ත පිළිවෙලින් ලක්වන ප්‍රත්‍යාබල වර්ග මොනවාද?,"උඩ පැත්ත සම්පීඩන ප්‍රත්‍යාබලයටත්, යට පැත්ත ආතති ප්‍රත්‍යාබලයටත් ලක් වේ."
ඉදි කිරීම් වලදී ආරුක්කු හැඩය භාවිතා කිරීමේ වාසිය කුමක්ද?,එය මත යෙදෙන බර නිසා ගඩොල් මත ඇති වන්නේ සම්පීඩන ප්‍රත්‍යාබලයක් පමණක් වීමයි.
