තරලයක් තුළ ඇතිවන අභ්‍යන්තර ඝර්ෂණය හැඳින්වීමට මූලාශ්‍රයේ දක්වා ඇති පදය කුමක්ද?,ප්‍රස්‍යස්ථතාවය
කැළඹීමකින් තොරව තරල ස්ථර ලෙස ගලායන ප්‍රවාහ හඳුන්වන්නේ කුමන නමකින්ද?,අනාකුල තරල ප්‍රවාහ
තරලයක යම් ලක්ෂ්‍යයක් පසුකරන සියලුම අංශුවල ප්‍රවේගය කාලයත් සමග නොවෙනස්ව පවතී නම් එම ප්‍රවාහය හැඳින්වෙන්නේ _____ ප්‍රවාහයක් ලෙසයි.,අනවර්ත
අනාකුල රේඛාවක යම් ලක්ෂ්‍යයක පවතින තරල අංශුවක ප්‍රවේගයේ දිශාව සොයාගන්නේ කෙසේද?,එම ලක්ෂ්‍යයට අඳින ලද ස්පර්ශකයේ දිශාව මගිනි.
අනාකුල රේඛා සමූහයකින් සෑදෙන නළයක හැඩැති කොටස හඳුන්වන්නේ කුමන නමකින්ද?,ප්‍රවාහ නළය
අවිච්ඡින්නතාවයේ සමීකරණය ($A_1 V_1 = A_2 V_2$) ගොඩනැගීමේදී සලකනු ලබන තරලයේ ප්‍රධාන ලක්ෂණ දෙක කුමක්ද?,අනාකුල වීම සහ අසම්පීඩ්‍ය වීම.
තරලයක ප්‍රස්‍යස්ථ නොවන (දුස්‍රාවී නොවන) ගුණය යන්නෙන් අදහස් කරන්නේ කුමක්ද?,තරල ස්ථර අතර අභ්‍යන්තර ඝර්ෂණ බල නොමැති වීම.
අසම්පීඩ්‍ය තරලයක ඇති විශේෂ ලක්ෂණය කුමක්ද?,පීඩනය සමග එහි ඝනත්වය වෙනස් නොවීම.
අවිච්ඡින්නතාවයේ සමීකරණය ($A_1 V_1 = A_2 V_2$) මගින් ප්‍රකාශ වන භෞතික විද්‍යාත්මක සංකල්පය කුමක්ද?,නළයක ඕනෑම හරස්කඩක් හරහා තත්පරයකදී ගලායන තරල පරිමාව නියත වීම.
බර්නුලි ප්‍රමේයය (Bernoulli's Principle) ප්‍රකාශ කරන සම්පූර්ණ සමීකරණය ලියන්න.,$P + \rho gh + \frac{1}{2} \rho v^2 = k$ (නියතයකි).
බර්නුලි සමීකරණයේ එන $P$ මගින් නිරූපණය වන්නේ කුමක්ද?,ස්ථිතික පීඩනය
බර්නුලි සමීකරණයේ එන $\rho gh$ පදය මගින් නිරූපණය වන්නේ කුමක්ද?,ඒකක පරිමාවක විභව ශක්තිය (ගුරුත්වාකර්ෂණ පීඩනය).
බර්නුලි සමීකරණයේ එන $\frac{1}{2} \rho v^2$ පදය හඳුන්වන විශේෂ නම කුමක්ද?,ගතික පීඩනය
බර්නුලි ප්‍රමේයය වලංගු වන්නේ කුමන වර්ගයේ තරල ප්‍රවාහයක් සඳහා පමණද?,"ප්‍රස්‍යස්ථ නොවන, අසම්පීඩ්‍ය, අනවර්ත, අනාකුල තරල ප්‍රවාහ සඳහා."
"තිරස් නළයක් දිගේ තරලයක් ගලා යාමේදී, නළයේ සිහින් වූ ස්ථානයක පීඩනයට කුමක් සිදුවේද?",ප්‍රවේගය වැඩි වන බැවින් පීඩනය අඩු වේ.
නළයක් තුළින් ගලා යන ද්‍රවයක ප්‍රවේගය මැනීම සඳහා භාවිතා කරන උපකරණය කුමක්ද?,වෙන්චුරිමානය (Venturimeter)
වෙන්චුරිමානයක් මගින් ද්‍රවයක ප්‍රවේගය සෙවීමට භාවිතා කරන සූත්‍රය කුමක්ද?,$v_1 = \sqrt{\frac{2gh}{(\frac{A_1^2}{A_2^2} - 1)}}$
වෙන්චුරිමානයක් මගින් වායුවක ප්‍රවේගය සෙවීමේදී සූත්‍රයේ එන $d$ මගින් අදහස් කරන්නේ කුමක්ද?,මනෝමීටරයේ ඇති ද්‍රවයේ (උදා: රසදිය) ඝනත්වය.
වායු ප්‍රවාහයක ප්‍රවේගය මැනීම සඳහා බහුලව භාවිතා කරන නළ වර්ගය කුමක්ද?,පිටොට් නළය (Pitot tube)
පිටොට් නළයක් ඇසුරින් වායුවක ප්‍රවේගය සෙවීමේ සූත්‍රය කුමක්ද?,$v_1 = \sqrt{\frac{2\Delta hdg}{\rho}}$
පිටොට් නළ සමීකරණයේ $\rho$ මගින් නිරූපණය කරන්නේ කුමන ඝනත්වයද?,ගලායන වායුවේ ඝනත්වය.
