තාපගති විද්‍යාවේ පළමුවන නියමය සඳහා වන සාමාන්‍ය සමීකරණය සඳහන් කරන්න.,$\Delta Q = \Delta U + \Delta W$
තාපගති විද්‍යාවේ පළමුවන නියමයේ $\Delta Q$ මගින් නිරූපණය වන්නේ කුමක්ද?,පද්ධතියට ලබා දුන් හෝ පද්ධතියෙන් පිට කළ තාප ප්‍රමාණය.
තාපගති විද්‍යාවේ පළමුවන නියමයේ $\Delta U$ මගින් නිරූපණය වන භෞතික රාශිය කුමක්ද?,පද්ධතියේ අභ්‍යන්තර ශක්තියේ වෙනස.
තාපගති විද්‍යාවේ පළමුවන නියමයේ $\Delta W$ මගින් අදහස් වන්නේ කුමක්ද?,පද්ධතිය මගින් කළ හෝ පද්ධතිය මත කළ කාර්යය.
තාපය අවශෝෂණය කරන පද්ධතියක $\Delta Q$ හි ලකුණ කුමක්ද?,ධන ($+$).
පද්ධතියකින් තාපය පිටවන විට $\Delta Q$ සඳහා යොදන ලකුණ කුමක්ද?,සෘණ ($-$).
පද්ධතියක අභ්‍යන්තර ශක්තිය වැඩි වන විට $\Delta U$ හි ලකුණ කෙසේ වේද?,ධන ($+$).
වායුවක අභ්‍යන්තර ශක්තිය අඩුවීම $\Delta U$ හි ලකුණ මගින් පෙන්වන්නේ කෙසේද?,සෘණ ($-$).
වායුවක් ප්‍රසාරණය වීමේදී (කාර්යය පද්ධතිය මගින් සිදු කරන විට) $\Delta W$ හි ලකුණ කුමක්ද?,ධන ($+$).
වායුවක් සම්පීඩනය වීමේදී (පද්ධතිය මත කාර්යය සිදු කරන විට) $\Delta W$ හි ලකුණ කුමක්ද?,සෘණ ($-$).
නියත පීඩනයේදී වායුවක් මගින් කරනු ලබන කාර්යය $(\Delta W)$ සෙවීමේ සූත්‍රය කුමක්ද?,$\Delta W = P \Delta V$
සිරෝෂ්ණ (Adiabatic) ක්‍රියාවලියක මූලික ලක්ෂණය කුමක්ද?,පද්ධතිය හා පරිසරය අතර තාප හුවමාරුවක් සිදු නොවීම ($\Delta Q = 0$).
සිරෝෂ්ණ ක්‍රියාවලියක් සඳහා තාපගති විද්‍යාවේ පළමුවන නියමය ලියා දක්වන්න.,$\Delta U = -\Delta W$
සිරෝෂ්ණ ක්‍රියාවලියක් සිදුවීමට අවශ්‍ය එක් භෞතික කොන්දේසියක් සඳහන් කරන්න.,ක්‍රියාවලිය ඉතා වේගයෙන් සිදුවිය යුතුය (හෝ තාප පරිවරණය කළ බඳුනක සිදුවිය යුතුය).
සමෝෂ්ණ (Isothermal) ක්‍රියාවලියක මූලික ලක්ෂණය කුමක්ද?,පද්ධතියේ උෂ්ණත්වය නියතව පැවතීම (එවිට $\Delta U = 0$).
සමෝෂ්ණ ක්‍රියාවලියක් සඳහා තාපගති විද්‍යාවේ පළමුවන නියමය අදාළ වන ආකාරය ලියා දක්වන්න.,$\Delta Q = \Delta W$
සමෝෂ්ණ ක්‍රියාවලියක් සිදුවීමට අවශ්‍ය එක් ප්‍රධාන කොන්දේසියක් සඳහන් කරන්න.,ක්‍රියාවලිය ඉතා සෙමින් සිදුවිය යුතුය.
සමපරිමා (Isochoric) ක්‍රියාවලියක මූලික ලක්ෂණය කුමක්ද?,පද්ධතියේ පරිමාව වෙනස් නොවීම ($\Delta V = 0$).
සමපරිමා ක්‍රියාවලියකදී සිදු කෙරෙන කාර්යය $(\Delta W)$ කොපමණද?,ශුන්‍යය ($0$).
සමපරිමා ක්‍රියාවලියකදී ලබා දෙන තාපය $(\Delta Q)$ කුමන කාර්යයක් සඳහා වැය වේද?,පද්ධතියේ අභ්‍යන්තර ශක්තිය වැඩි කිරීම සඳහා පමණි ($\Delta Q = \Delta U$).
වායුවක $P-V$ ප්‍රස්ථාරයක වක්‍රය යටතේ වර්ගඵලයෙන් නිරූපණය වන්නේ කුමක්ද?,වායුව මගින් කරන ලද කාර්යය $(\Delta W)$.
චක්‍රීය ක්‍රියාවලියකදී (Cyclic process) අභ්‍යන්තර ශක්ති වෙනස $(\Delta U)$ කොපමණද?,ශුන්‍යය ($0$).
චක්‍රීය ක්‍රියාවලියකදී පද්ධතිය මගින් කරන ශුද්ධ කාර්යය $(\Delta W)$ සමාන වන්නේ කුමකටද?,පද්ධතියට ලබා දුන් ශුද්ධ තාප ප්‍රමාණයට $(\Delta Q)$.
දක්ෂිණාවර්තව (Clockwise) සිදුවන චක්‍රීය ක්‍රියාවලියක ශුද්ධ කාර්යයෙහි ලකුණ කුමක්ද?,ධන ($+$).
වාමාවර්තව (Anti-clockwise) සිදුවන චක්‍රීය ක්‍රියාවලියක ශුද්ධ කාර්යයෙහි ලකුණ කුමක්ද?,සෘණ ($-$).
පරිපූර්ණ වායුවක අභ්‍යන්තර ශක්තිය රඳා පවතින එකම සාධකය කුමක්ද?,වායුවේ උෂ්ණත්වය ($T$).
$P-V$ ප්‍රස්ථාරයක සමෝෂ්ණ වක්‍රයට වඩා සිරෝෂ්ණ වක්‍රයේ අනුක්‍රමණය කෙසේ වේද?,සිරෝෂ්ණ වක්‍රයේ අනුක්‍රමණය වැඩිය (එය වඩාත් බෑවුම් සහිතය).
වායුවක මවුලික තාප ධාරිතාවන් අතර පවතින සම්බන්ධය $C_p > C_v$ වීමට හේතුව කුමක්ද?,නියත පීඩනයේදී තාපය ලබා දීමේදී උෂ්ණත්වය වැඩි කිරීමට අමතරව වායුව ප්‍රසාරණය වීමටද ශක්තිය වැය වන බැවිනි.
නියත පරිමාවේදී වායුවකට ලබා දෙන තාපය $(\Delta Q_v)$ සෙවීමට මවුලික තාප ධාරිතාව ඇසුරින් සූත්‍රය ලියන්න.,$\Delta Q_v = n C_v \Delta \theta$
නියත පීඩනයේදී වායුවකට ලබා දෙන තාපය $(\Delta Q_p)$ සෙවීමට මවුලික තාප ධාරිතාව ඇසුරින් සූත්‍රය ලියන්න.,$\Delta Q_p = n C_p \Delta \theta$
වායුවක $\gamma$ (Gamma) අගය යනු කුමක්ද?,නියත පීඩනයේදී මවුලික තාප ධාරිතාව $(C_p)$ සහ නියත පරිමාවේදී මවුලික තාප ධාරිතාව $(C_v)$ අතර අනුපාතයයි ($\gamma = \frac{C_p}{C_v}$).
මේයර්ගේ සම්බන්ධතාවය (Mayer's relation) ලියා දක්වන්න.,$C_p - C_v = R$
මේයර්ගේ සම්බන්ධතාවයේ $(C_p - C_v = R)$ ඇති $R$ මගින් නිරූපණය වන්නේ කුමක්ද?,විශ්ව වායු නියතය.
වායුවක උෂ්ණත්වය $1 K$ කින් වැඩි කිරීමට නියත පරිමාවේදී ලබා දිය යුතු තාපය සමාන වන්නේ කුමකටද?,එම වායුවේ අභ්‍යන්තර ශක්තියේ වෙනසට $(\Delta U)$.
ශීතකරණ චක්‍රයක සම්පීඩකය (Compressor) මගින් සිදු කරන කාර්යය කුමක්ද?,වාෂ්පය වේගයෙන් සම්පීඩනය කර එහි පීඩනය සහ උෂ්ණත්වය ඉහළ නැංවීම.
ශීතකරණයක සනීභවකය (Condenser) තුළදී සිදුවන ක්‍රියාවලිය කුමක්ද?,ඉහළ පීඩනයක පවතින වාෂ්පය පරිසරයට තාපය පිට කර ද්‍රවයක් බවට පත්වීම.
ශීතකරණයක ප්‍රසාරණ කපාටය (Expansion valve) හරහා ද්‍රවය ගමන් කිරීමේදී සිදුවන වෙනස කුමක්ද?,ද්‍රවය වේගයෙන් ප්‍රසාරණය වී එහි පීඩනය සහ උෂ්ණත්වය සීඝ්‍රයෙන් පහත වැටීම.
ශීතකරණයක බාෂ්පීකාරකය (Evaporator) තුළදී තාපය අවශෝෂණය කරගන්නේ කොහෙන්ද?,ශීතකරණය තුළ ඇති ද්‍රව්‍ය වලින් (කුටීරය තුළින්).
ශීතකරණ චක්‍රයක සීඝ්‍ර සම්පීඩනයකදී $(\Delta Q = 0)$ උෂ්ණත්වය වැඩි වීමට හේතුව කුමක්ද?,පද්ධතිය මත කාර්යය කරන බැවින් $(\Delta W = -)$ අභ්‍යන්තර ශක්තිය වැඩි වීම $(\Delta U = +)$.
ශීතකරණ චක්‍රයක සීඝ්‍ර ප්‍රසාරණයකදී $(\Delta Q = 0)$ උෂ්ණත්වය අඩු වීමට හේතුව කුමක්ද?,පද්ධතිය මගින් කාර්යය කරන බැවින් $(\Delta W = +)$ අභ්‍යන්තර ශක්තිය අඩු වීම $(\Delta U = -)$.
පරිපූර්ණ වායුවක $P \cdot V$ ගුණිතය සමාන වන්නේ කුමකටද?,$nRT$ (මෙහි $n$ සහ $R$ නියත බැවින් $P \cdot V \propto T$).
වක්‍රයක අනුක්‍රමණය $P \propto \frac{1}{V}$ වන්නේ කුමන ක්‍රියාවලියකදීද?,සමෝෂ්ණ ක්‍රියාවලියකදී.
වක්‍රයක අනුක්‍රමණය $P \propto \frac{1}{V^\gamma}$ වන්නේ කුමන ක්‍රියාවලියකදීද?,සිරෝෂ්ණ ක්‍රියාවලියකදී.
$C_p - C_v = \Delta W$ සම්බන්ධතාවය වලංගු වන්නේ වායුව කෙබඳු ප්‍රමාණයකටද?,$1 kg$ ක් හෝ මවුල $1$ ක් සඳහා (ඒකක උෂ්ණත්ව වෙනසකදී).
සමෝෂ්ණ ප්‍රසාරණයකදී පද්ධතියට තාපය ලබා දිය යුත්තේ ඇයි?,කාර්යය කිරීම සඳහා වැය වන ශක්තිය පියවා ගනිමින් උෂ්ණත්වය නියතව පවත්වා ගැනීමට.
සමෝෂ්ණ සම්පීඩනයකදී පද්ධතියෙන් තාපය ඉවත් විය යුත්තේ ඇයි?,සම්පීඩනය නිසා වැඩි වන අභ්‍යන්තර ශක්තිය ඉවත් කර උෂ්ණත්වය නියතව පවත්වා ගැනීමට.
සිරෝෂ්ණ ප්‍රසාරණයකදී වායුවේ උෂ්ණත්වය පහළ යන්නේ ඇයි?,"පිටතින් තාපය ලබා නොගන්නා බැවින්, කාර්යය කිරීමට අවශ්‍ය ශක්තිය වායුවේ අභ්‍යන්තර ශක්තියෙන් වැය කරන නිසා."
සිරෝෂ්ණ සම්පීඩනයකදී වායුවේ උෂ්ණත්වය ඉහළ යන්නේ ඇයි?,පද්ධතිය මත කරන කාර්යය නිසා ලැබෙන ශක්තිය පිටතට නොගොස් අභ්‍යන්තර ශක්තිය වැඩි කිරීමට හේතු වන නිසා.
