තරලයක් (Fluid) යනු කුමක්ද?,අංශු අතර සාපේක්ෂ චලිතයක් පැවතිය හැකි ද්‍රව්‍යයකි.
සම්පීඩ්‍ය තරල සඳහා උදාහරණයක් දක්වන්න.,වායූන්
අසම්පීඩ්‍ය තරල යනු මොනවාද?,පීඩනය යෙදූ විට පරිමාව වෙනස් නොවන ද්‍රව වැනි තරල වේ.
ඝනත්වය ($\rho$) සෙවීමේ මූලික සූත්‍රය කුමක්ද?,$\rho = \frac{m}{V}$
සමජාතීය ද්‍රව්‍යයක ඝනත්වය සෑම තැනකම _____ වේ.,සමාන
සාපේක්ෂ ඝනත්වය ($D$) අර්ථ දක්වන්නේ කෙසේද?,ද්‍රව්‍යයක ඝනත්වය සහ ජලයේ ඝනත්වය අතර අනුපාතය ලෙසයි ($D = \frac{\rho_a}{\rho_w}$).
සාපේක්ෂ ඝනත්වය සඳහා පවතින ඒකක මොනවාද?,එය අනුපාතයක් බැවින් ඒකක රහිත වේ.
"වස්තුවක වාතයේ බර $mg$ සහ ජලයේදී උඩුකුරු තෙරපුම $U$ නම්, සාපේක්ෂ ඝනත්වය ($D$) සෙවීමේ සූත්‍රය කුමක්ද?",$D = \frac{mg}{U}$
මිශ්‍රණයක ඝනත්වය ($\rho_{mix}$) සෙවීමේ පොදු සමීකරණය කුමක්ද?,$\rho_{mix} = \frac{m_{total}}{V_{total}}$
තරලයක ගැඹුර $h$ වන ස්ථානයක ද්‍රවස්ථිතික පීඩනය ($P$) සෙවීමේ සූත්‍රය කුමක්ද?,$P = h \rho g$
ද්‍රවයක් තුළ පවතින නිරපේක්ෂ පීඩනය ($P$) සෙවීමේ සම්පූර්ණ සමීකරණය කුමක්ද?,$P = \pi + h \rho g$
වායුගෝලීය පීඩනය ($\pi$) රසදිය සෙන්ටිමීටර වලින් කොපමණද?,$76\text{ cmHg}$
"ද්‍රව පෘෂ්ඨයේ සිට ගැඹුර ($h$) සහ පීඩනය ($P$) අතර ප්‍රස්තාරය මුල් ලක්ෂ්‍යය හරහා යන්නේ නම්, එහිදී නොසලකා හැර ඇති සාධකය කුමක්ද?",වායුගෝලීය පීඩනය ($\pi$)
ද්‍රවස්ථිතික විරුද්ධාභාසය (Hydrostatic Paradox) යනු කුමක්ද?,"භාජනවල හැඩය වෙනස් වුවද, එකම ද්‍රවය එකම උසකට පවතී නම් පතුලේ පීඩනය සමාන වීමයි."
පැස්කල්ගේ නියමය (Pascal's Law) මගින් ප්‍රකාශ වන්නේ කුමක්ද?,සංවෘත තරලයකට යොදන බාහිර පීඩනය සෑම දිශාවකටම අඩුවීමකින් තොරව සම්ප්‍රේෂණය වන බවයි.
"තිරස් $a$ ත්වරණයකින් චලනය වන ද්‍රව භාජනයක නිදහස් පෘෂ්ඨය තිරස සමග සාදන කෝණය $\theta$ නම්, $\tan \theta$ සඳහා ප්‍රකාශනය කුමක්ද?",$\tan \theta = \frac{a}{g}$
උඩුකුරු තෙරපුම ($U$) යනු කුමක්ද?,තරලයක් මගින් වස්තුවක් මත ඇති කරන සම්ප්‍රයුක්ත ඉහළ බලයයි.
ආකිමිඩීස් මූලධර්මය (Archimedes' Principle) කුමක්ද?,"තරලයක ගිලී ඇති වස්තුවක් මත ඇතිවන උඩුකුරු තෙරපුම, එමගින් විස්ථාපනය කළ තරලයේ බරට සමාන වේ."
උඩුකුරු තෙරපුම ($U$) ගණනය කිරීමේ සූත්‍රය කුමක්ද?,$U = V \rho g$
ප්ලාවන නියමයට (Law of Flotation) අනුව පාවෙන වස්තුවක බර ($mg$) සමාන වන්නේ කුමකටද?,වස්තුව මගින් විස්ථාපනය කළ තරලයේ බරට (උඩුකුරු තෙරපුමට).
