ද්‍රවයක නිදහස් පෘෂ්ඨය කුමන ආකාරයේ ව්‍යුහයක් ලෙස ක්‍රියා කරන බව නිරීක්ෂණය කළ හැකිද?,ඇදුණු ප්‍රත්‍යාස්ථ පටලයක් ලෙස.
අණුවක් ආකර්ෂණය කරන අනෙකුත් අණු අඩංගු වන සේ එම අණුව කේන්ද්‍ර කරගෙන නිර්මාණය කළ හැකි ගෝලය හඳුන්වන්නේ කුමන නමකින්ද?,අණුක ආකර්ෂණ ගෝලය (බල පරාස ගෝලය) ලෙස.
ද්‍රවයක් අභ්‍යන්තරයේ ඇති අණුවක් මත ක්‍රියා කරන සම්ප්‍රයුක්ත බලය ශූන්‍ය වන්නේ ඇයි?,අණුක ආකර්ෂණ ගෝලය තුළ පවතින අණු මඟින් එම අණුව සෑම දිශාවකින්ම සමානව ආකර්ෂණය කරන බැවින්.
ද්‍රව පෘෂ්ඨය මත ඇති අණුවක් මත ක්‍රියා කරන සම්ප්‍රයුක්ත බලයේ දිශාව කුමක්ද?,ද්‍රව පෘෂ්ඨයට ලම්භකව ද්‍රවය තුළට (පහළට).
ද්‍රව බිංදුවක් ගෝලාකාර හැඩයක් ගැනීමට උත්සාහ කරන්නේ ඇයි?,පෘෂ්ඨික ආතතිය නිසා ද්‍රව පෘෂ්ඨයේ අණු ද්‍රවය තුළට යාමට තැත් කරන බැවින් අවම වර්ගඵලයක් ඇති හැඩය ගැනීමට උත්සාහ කරන නිසා.
සංසක්ත බල (Cohesive forces) යනු මොනවාද?,සජාතීය (එකම ද්‍රව්‍යයක) අණු අතර පවතින ආකර්ෂණ බල.
ආසක්ත බල (Adhesive forces) යනු මොනවාද?,විජාතීය (වෙනස් ද්‍රව්‍යවල) අණු දෙකක් අතර පවතින ආකර්ෂණ බල.
ජලය වීදුරු පෘෂ්ඨයක් මත පැතිරී යන්නේ ඇයි?,"ජල අණු හා වීදුරු අණු අතර ආසක්ත බලය, ජල අණු දෙකක් අතර සංසක්ත බලයට වඩා වැඩි බැවින්."
රසදිය වීදුරු පෘෂ්ඨයක් මත බිංදු ලෙස එක් රැස් වන්නේ ඇයි?,"රසදිය අණු අතර සංසක්ත බලය, රසදිය හා වීදුරු අණු අතර ආසක්ත බලයට වඩා වැඩි බැවින්."
පෘෂ්ඨික ආතතිය ($T$) අර්ථ දක්වනු ලබන සමීකරණය කුමක්ද?,$T = \frac{F}{l}$
පෘෂ්ඨික ආතතියේ $SI$ ඒකකය කුමක්ද?,$N m^{-1}$
පෘෂ්ඨික ආතතියේ මාන කුමක්ද?,$MT^{-2}$
