ප්‍රිස්මයක වර්තක පෘෂ්ඨ දෙක මගින් ආලෝක කිරණයක් අපගමනය කිරීමේ ප්‍රධාන අරමුණ කුමක්ද?,ආලෝක කිරණයේ ගමන් මග මුල් දිශාවෙන් වෙනස් කිරීමයි.
ප්‍රිස්මයක 'වර්තක කෝණය' (Refracting Angle) ලෙස හඳුන්වන අංගය කුමක්ද?,"$A$ මගින් දක්වන, වර්තක පෘෂ්ඨ දෙක අතර ඇති කෝණයයි."
ප්‍රිස්මයක 'පාදය' (Base) ලෙස හඳුන්වන්නේ කුමක්ද?,ආලෝකය පතිත නොවන සහ වර්තනය සිදු නොවන ප්‍රිස්මයේ තුන්වන පෘෂ්ඨයයි.
"ප්‍රිස්මයක පළමු වර්තක පෘෂ්ඨය මත පතන කෝණය $i_1$ ද, වර්තන කෝණය $r_1$ ද නම්, එම පෘෂ්ඨයේදී සිදුවන අපගමනය ($d_1$) සඳහා සූත්‍රය කුමක්ද?",$d_1 = i_1 - r_1$
ප්‍රිස්මයක දෙවන වර්තක පෘෂ්ඨයෙන් කිරණය නිර්ගමනය වන විට සිදුවන අපගමනය ($d_2$) සෙවීමට භාවිතා කරන සමීකරණය කුමක්ද?,$d_2 = i_2 - r_2$
"ප්‍රිස්ම කෝණය ($A$) සහ ප්‍රිස්මය තුළ ඇති වර්තන කෝණ ($r_1, r_2$) අතර පවතින ජ්‍යාමිතික සම්බන්ධය කුමක්ද?",$A = r_1 + r_2$
ප්‍රිස්මයකින් ඇතිවන මුළු අපගමනය ($d_T$) සඳහා වන පොදු සමීකරණය ලියන්න.,$d_T = (i_1 + i_2) - A$
අපගමනය ($d$) සහ පතන කෝණය ($i$) අතර ප්‍රස්තාරයක හැඩය කෙබඳුද?,එය අවම ලක්ෂ්‍යයක් සහිත පරාවලයික හැඩැති වක්‍රයකි.
$d-i$ ප්‍රස්තාරයක අවම ලක්ෂ්‍යය මගින් නිරූපණය වන භෞතික රාශිය කුමක්ද?,අවම අපගමන කෝණය ($D_m$)
ප්‍රිස්මයක අවම අපගමනය ($D_m$) ඇතිවන විට පතන කෝණය ($i_1$) සහ නිර්ගමන කෝණය ($i_2$) අතර පවතින සම්බන්ධය කුමක්ද?,$i_1 = i_2$
අවම අපගමන අවස්ථාවේදී ප්‍රිස්මය තුළ වර්තන කෝණ ($r_1$ සහ $r_2$) වල අගයන් කෙසේ වේද?,$r_1 = r_2$ (එනම් $r = \frac{A}{2}$)
"සමපාද ප්‍රිස්මයක් අවම අපගමන අවස්ථාවේ පවතින විට, ප්‍රිස්මය තුළ ගමන් කරන කිරණය එහි පාදයට සාපේක්ෂව පවතින ආකාරය විස්තර කරන්න.",කිරණය ප්‍රිස්මයේ පාදයට සමාන්තරව ගමන් කරයි.
ප්‍රිස්ම සූත්‍රයට අනුව $\frac{n_{\text{prism}}}{n_{\text{medium}}}$ අගය සමාන වන්නේ කුමන ත්‍රිකෝණමිතික ශ්‍රිත අනුපාතයටද?,$\frac{\sin(\frac{A+D_m}{2})}{\sin(\frac{A}{2})}$
අවම අපගමන අවස්ථාවේදී පතන කෝණය ($i$) ප්‍රිස්ම කෝණය ($A$) සහ අවම අපගමනය ($D_m$) ඇසුරින් ප්‍රකාශ කරන්න.,$i = \frac{A + D_m}{2}$
ප්‍රිස්ම සූත්‍රය භාවිතා කළ හැක්කේ කුමන විශේෂිත අවස්ථාවකදී පමණක්ද?,ප්‍රිස්මය අවම අපගමන අවස්ථාවේ (Minimum Deviation position) පවතින විට පමණි.
ප්‍රිස්මයක අපගමන කෝණය ($d$) කෙරෙහි බලපාන ප්‍රධාන සාධක 4 මොනවාද?,"1. ප්‍රිස්ම කෝණය ($A$), 2. ප්‍රිස්ම ද්‍රව්‍යයේ වර්තනාංකය ($n$), 3. අවට මාධ්‍යයේ වර්තනාංකය, 4. ආලෝකයේ වර්ණය (තරංග ආයාමය)."
ප්‍රිස්ම ද්‍රව්‍යයේ වර්තනාංකය ($n$) වැඩිවත්ම අවම අපගමන කෝණයට ($D_m$) සිදුවන්නේ කුමක්ද?,අවම අපගමන කෝණය වැඩි වේ.
ආලෝකයේ වර්ණය (තරංග ආයාමය) වෙනස් වන විට අපගමනය වෙනස් වන්නේ ඇයි?,විවිධ තරංග ආයාම සඳහා ප්‍රිස්ම ද්‍රව්‍යය දක්වන වර්තනාංකය ($n$) වෙනස් බැවිනි.
ආලෝකයේ වේගය ($v$) වැඩි වන විට වර්තනාංකය ($n$) සහ අවම අපගමනය ($D_m$) කෙරෙහි ඇති වන බලපෑම කුමක්ද?,$n$ අගය සහ $D_m$ අගය යන දෙකම අඩු වේ.
සුදු ආලෝකය ප්‍රිස්මයක් තුළින් යැවූ විට වර්ණ 7 කට වෙන්වීමේ සංසිද්ධිය හඳුන්වන්නේ කෙසේද?,ආලෝකයේ වර්ණ විහේදනය (Dispersion of light).
වර්ණ විහේදනයේදී 'රතු' ආලෝකය කෙරෙහි ප්‍රිස්මයේ බලපෑම විස්තර කරන්න.,රතු ආලෝකයේ වර්තනාංකය සහ අපගමනය අවම වේ.
වර්ණ විහේදනයේදී 'දම්' (Violet) ආලෝකය කෙරෙහි ප්‍රිස්මයේ බලපෑම විස්තර කරන්න.,දම් ආලෝකයේ වර්තනාංකය සහ අපගමනය උපරිම වේ.
වර්ණ විහේදනය වීමට හේතුව කුමක්ද? (වර්තනාංකය හා තරංග ආයාමය ඇසුරින්),තරංග ආයාමය අඩුවන විට වර්තනාංකය ($n$) වැඩිවීම නිසා අපගමනය වැඩි වේ ($n \propto \frac{1}{\lambda}$).
ප්‍රිස්මයක් මගින් ආලෝක කිරණයක් $90^{\circ}$ කින් හරවා යැවීමට (Deviate) භාවිතා කළ හැකි විශේෂ ප්‍රිස්මය කුමක්ද?,සමද්වීපාද සෘජුකෝණී ප්‍රිස්මයකි.
සමද්වීපාද සෘජුකෝණී ප්‍රිස්මයක් තුළින් කිරණයක් $180^{\circ}$ කින් හරවා යැවීමට (Invert කිරීමට) කිරණය පතිත විය යුත්තේ කුමන පෘෂ්ඨයටද?,ප්‍රිස්මයේ කර්ණයට (Hypotenuse).
ප්‍රිස්මයක් භාවිතයෙන් ප්‍රතිබිම්බයක් උඩුයටිකුරු (Erecting/Inverting) කරන අවස්ථාවකදී කිරණය ප්‍රිස්මය තුළදී අනුගමනය කරන භෞතික මූලධර්මය කුමක්ද?,පූර්ණ අභ්‍යන්තර පරාවර්තනය (Total Internal Reflection).
ප්‍රිස්ම සූත්‍රයේ 'වර්තනාංක අනුපාතය' සඳහා සංකේතය $n > 1$ (ඝන මාධ්‍යයක ඇති ප්‍රිස්මයකට සාපේක්ෂව විරල ප්‍රිස්මයක්) ලෙස යොදන්නේ කුමන අවස්ථාවකදීද?,සූත්‍රයේ $(+)$ ලකුණ සහිත අවස්ථාවකදීය.
වර්තනාංකය අඩු ප්‍රිස්මයක් වර්තනාංකය වැඩි මාධ්‍යයක තැබූ විට කිරණය අපගමනය වන්නේ කුමන දිශාවටද?,ප්‍රිස්මයේ මුදුන (Apex) දෙසටය.
සාමාන්‍ය තත්ව යටතේ (විරල මාධ්‍යයක ඇති ඝන ප්‍රිස්මයකදී) කිරණය අපගමනය වන්නේ කුමන දිශාවටද?,ප්‍රිස්මයේ පාදය (Base) දෙසටය.
$d_T = (i_1 + r_2) - A$ යන ප්‍රකාශය සත්‍යද අසත්‍යද?,අසත්‍යය (නිවැරදි සූත්‍රය $d_T = (i_1 + i_2) - A$ වේ).
අවම අපගමන අවස්ථාවේදී $i = \sin^{-1} [n \sin(\frac{A}{2})]$ ලෙස ලිවිය හැකිද?,ඔව් (ප්‍රිස්ම සූත්‍රය ඇසුරින්).
"ප්‍රිස්මයක පතන පෘෂ්ඨය $AB$ ලෙසත්, නිර්ගමන පෘෂ්ඨය $AC$ ලෙසත් නම් කළහොත්, වර්තක කෝණය ($A$) පිහිටන්නේ කුමන ශීර්ෂයේද?",$A$ ශීර්ෂයේය.
