ස්පර්ශයකින් තොරව ඇති වන බල හඳුන්වන පොදු නාමය කුමක්ද?,ක්ෂේත්‍ර බල (Field Forces).
ගුරුත්වාකර්ෂණ බලය අයත් වන්නේ කුමන බල වර්ගයටද?,ක්ෂේත්‍ර බල (Field Forces).
විද්‍යුත් බලය සහ චුම්බක බලය අයත් වන්නේ කුමන බල කාණ්ඩයටද?,ක්ෂේත්‍ර බල (Field Forces).
ස්පර්ශ බල ක්‍රියාත්මක වීමට වස්තූන් දෙකක් අතර තිබිය යුතු අත්‍යවශ්‍ය සබඳතාවය කුමක්ද?,වස්තූන් දෙක එකිනෙක ස්පර්ශ විය යුතුය.
ඝර්ෂණ බලය ($F$) අයත් වන බල කාණ්ඩය කුමක්ද?,ස්පර්ශ බල (Contact Forces).
ආතතිය ($T$) සහ අභිලම්භ ප්‍රතික්‍රියාව ($R$) අයත් වන පොදු බල කාණ්ඩය කුමක්ද?,ස්පර්ශ බල (Contact Forces).
බල යුගලයක (Force Couple) බල දෙකේ විශාලත්වයන් අතර පවතින සම්බන්ධතාවය කුමක්ද?,විශාලත්වයෙන් සමාන වේ.
බල යුගලයක බල දෙක ක්‍රියා කරන දිශාවන් අතර පවතින සම්බන්ධතාවය කුමක්ද?,දිශාවෙන් එකිනෙකට ප්‍රතිවිරුද්ධ වේ.
බල යුගලයක් සෑදෙන බල දෙකේ ක්‍රියා රේඛා පිළිබඳව සටහන්වල දක්වා ඇති ලක්ෂණය කුමක්ද?,එම බල දෙක එකම රේඛාවක (ඒක රේඛීය) පිහිටිය යුතුය.
"වස්තුවක් මත බල ක්‍රියා කරන විට, 'ක්‍රියාව' සහ 'ප්‍රතික්‍රියාව' ඇති වන්නේ වස්තූන් කීයක් මතද?",වස්තූන් දෙකක් මත.
වස්තුවක් මත පෘථිවිය මගින් ඇති කරන බලයට ($mg$) ප්‍රතික්‍රියාව ඇති වන්නේ කොහේද?,පෘථිවිය මත.
ඝර්ෂණ බලය ($F$) සැමවිටම ක්‍රියා කරන දිශාව කුමක්ද?,වස්තූන්ගේ සාපේක්ෂ චලිතයට (හෝ චලිත වීමට දරන උත්සාහයට) ප්‍රතිවිරුද්ධ දිශාවට.
ඝර්ෂණ බලය පෘෂ්ඨය දිගේ ඇති වීමට නම් පෘෂ්ඨය කෙබඳු විය යුතුද?,පෘෂ්ඨය රළු විය යුතුය.
අභිලම්භ ප්‍රතික්‍රියාව ($R$) සැමවිටම ස්පර්ශ පෘෂ්ඨය සමඟ පවත්වා ගන්නා කෝණය කුමක්ද?,$90^\circ$ (එනම් පෘෂ්ඨයට ලම්බකව).
අභිලම්භ ප්‍රතික්‍රියාව ($R$) සැමවිටම වස්තුවේ ගුරුත්ව කේන්ද්‍රය ($G$) හරහා යාම අත්‍යවශ්‍යද?,නැත.
අභිලම්භ ප්‍රතික්‍රියාව සැමවිටම වස්තුවේ බර ($mg$) ට සමාන විය යුතුද?,නැත.
අභිලම්භ ප්‍රතික්‍රියාව ($R$) ක්‍රියා කිරීමට නම් වස්තුව සිරස්ව තිබීම අත්‍යවශ්‍යද?,නැත.
රළු පෘෂ්ඨයකදී සම්ප්‍රයුක්ත ප්‍රතික්‍රියාව ($S$) යනු කුමන බල දෙකක සම්ප්‍රයුක්තයද?,අභිලම්භ ප්‍රතික්‍රියාව ($R$) සහ ඝර්ෂණ බලය ($F$).
සුමට පෘෂ්ඨයකදී සම්ප්‍රයුක්ත ප්‍රතික්‍රියාව ($S$) සමාන වන්නේ කුමන බලයටද?,අභිලම්භ ප්‍රතික්‍රියාවට ($R$).
පෘෂ්ඨයක් රළු වූ පමණින් ඝර්ෂණ බලයක් ($F$) හට ගනීද?,"නැත, එය හට ගන්නේ සාපේක්ෂ චලිතයක් හෝ චලිත වීමට උත්සාහයක් පවතින විට පමණි."
ආතතිය ($T$) සැමවිටම වස්තුවේ සිට ක්‍රියා කරන්නේ කුමන දිශාවටද?,වස්තුවෙන් ඉවතට තන්තුව දිගේ.
සැහැල්ලු තන්තුවක ආතතිය පිළිබඳව ඇති විශේෂ ලක්ෂණය කුමක්ද?,තන්තුව දිගේ සෑම තැනකම ආතතිය සමාන වේ.
වස්තුවක් මත ආතතිය ඇති වන්නේ තන්තුව කෙබඳු අවස්ථාවක පවතින විටද?,තන්තුව ඇදී (තද වී) පවතින විට.
වස්තුවක් සමතුලිතතාවයේ පවතින විට තිබිය යුතු සම්ප්‍රයුක්ත බලයේ ($R$) අගය කොපමණද?,$R = 0$
වස්තුවක් සමතුලිතතාවයේ පවතින විට තිබිය යුතු සම්ප්‍රයුක්ත ඝූර්ණයේ ($\tau$) අගය කොපමණද?,$\tau = 0$
බල 2 ක් යටතේ වස්තුවක් සමතුලිත වීමට නම් තිබිය යුතු විශාලත්වය පිළිබඳ කොන්දේසිය කුමක්ද?,බල දෙක විශාලත්වයෙන් සමාන විය යුතුය.
බල 2 ක් යටතේ වස්තුවක් සමතුලිත වීමට නම් තිබිය යුතු දිශාව පිළිබඳ කොන්දේසිය කුමක්ද?,බල දෙක දිශාවෙන් එකිනෙකට ප්‍රතිවිරුද්ධ විය යුතුය.
බල 2 ක් යටතේ වස්තුවක් සමතුලිත වීමට නම් එම බල දෙක පිහිටිය යුතු රේඛාව කුමක්ද?,බල දෙක ඒක රේඛීය (එකම රේඛාවක) විය යුතුය.
බල 3 ක් යටතේ වස්තුවක් සමතුලිත වීමට නම් තිබිය යුතු පොදු තල ලක්ෂණය කුමක්ද?,බල තුනම ඒක තලීය (එකම තලයක පිහිටි) විය යුතුය.
"බල 3 ක් යටතේ වස්තුවක් සමතුලිත වන විට, එම බල සමාන්තර නොවේ නම් ඒවා සතු විය යුතු ලක්ෂණය කුමක්ද?",එම බල එක් ලක්ෂ්‍යයකදී හමුවන (ඒක ලක්ෂ්‍යය) බල විය යුතුය.
"බල 3 ක සමතුලිතතාවයකදී, ඕනෑම බල දෙකක සම්ප්‍රයුක්තය තුන්වන බලයට විශාලත්වයෙන් කෙබඳුද?",තුන්වන බලයට විශාලත්වයෙන් සමාන වේ.
ලාමි ප්‍රමේයයේ (Lami's Theorem) ගණිතමය ප්‍රකාශනය කුමක්ද?,$\frac{P}{\sin \alpha} = \frac{Q}{\sin \gamma} = \frac{S}{\sin \beta}$
"ලාමි ප්‍රමේයයේදී කෝණයක් ($e.g., \alpha$) ලෙස සලකනු ලබන්නේ කුමන කෝණයද?",අදාළ බලයට ප්‍රතිවිරුද්ධව ඇති අනෙක් බල දෙක අතර කෝණය.
වස්තුවක් සමතුලිතතාවයේ පවතින විට තිරස් දිශාවට බල විභේදනවල වීජීය එකතුව ($x$) කොපමණද?,$x = 0$
වස්තුවක් සමතුලිතතාවයේ පවතින විට සිරස් දිශාවට බල විභේදනවල වීජීය එකතුව ($y$) කොපමණද?,$y = 0$
බල 3 ක් යටතේ සමතුලිතතාවය විස්තර කෙරෙන ජ්‍යාමිතික නියමය කුමක්ද?,බල ත්‍රිකෝණ නියමය (Triangle Law of Forces).
බල 3 කට වඩා වැඩි ගණනක් යටතේ පවතින සමතුලිතතාවය විස්තර කිරීමට යොදා ගන්නා ජ්‍යාමිතික රූපය කුමක්ද?,බල බහුඅස්‍රය (Polygon of Forces).
"බල බහුඅස්‍රයක සියලු පාද අනුපිළිවෙලින් වැසී ඇත්නම්, එම බල පද්ධතිය පවතින්නේ කුමන තත්වයකද?",සමතුලිතතාවයේ පවතී.
තන්තුවක් මගින් කප්පියක් මත ඇති කරන බලයේ දිශාව කුමක්ද?,කප්පිය දෙසට තන්තුව දිගේ.
වෘත්තාකාර වස්තුවක පෘෂ්ඨයක් මත ක්‍රියා කරන අභිලම්භ ප්‍රතික්‍රියාව සැමවිටම යන්නේ කුමක් හරහාද?,වෘත්තයේ මධ්‍ය ලක්ෂ්‍යය හරහා.
"වස්තුවක් ආනත තලයක් මත පවතින විට, එහි බර ($mg$) ක්‍රියා කරන දිශාව කුමක්ද?",සිරස්ව පහළට.
"වස්තුවක් ආනත තලයක් මත පවතින විට, අභිලම්භ ප්‍රතික්‍රියාව ($R$) ක්‍රියා කරන දිශාව කුමක්ද?",ආනත තලයට ලම්බකව.
ඝර්ෂණය රහිත සුමට පෘෂ්ඨයකදී ඝර්ෂණ බලයේ ($F$) අගය කොපමණද?,$F = 0$
තන්තුවක ආතතිය ($T$) සැමවිටම ක්‍රියා කරන්නේ වස්තුවේ සිට ____.,ඉවතට.
"සමතුලිතතාවයේ ඇති වස්තුවක සම්ප්‍රයුක්ත ඝූර්ණය ශුන්‍ය වීමට නම්, බල සියල්ල එකම ලක්ෂ්‍යයක් හරහා යාම හෝ ____ විය යුතුය.",සමාන්තර විය යුතුය.
බලයක විශාලත්වය මනිනු ලබන සම්මත ඒකකය කුමක්ද?,නිව්ටන් ($N$).
"බල 3 ක් යටතේ සමතුලිත වීමට නම්, ඕනෑම බල දෙකක සම්ප්‍රයුක්තය තුන්වන බලයට දිශාවෙන් කෙසේ විය යුතුද?",ප්‍රතිවිරුද්ධ විය යුතුය.
ලාමි ප්‍රමේයය භාවිතා කළ හැක්කේ බල කීයක සමතුලිතතාවයක් සඳහාද?,බල 3 ක් සඳහා.
වස්තුවක් මත ක්‍රියා කරන බර ($mg$) ක්‍රියා කරන ලක්ෂ්‍යය හඳුන්වන්නේ කුමක් ලෙසද?,ගුරුත්ව කේන්ද්‍රය ($G$).
ස්පර්ශ බලවලට එක් උදාහරණයක් ලෙස 'උඩුකුරු තෙරපුම' දැක්විය හැකිද?,ඔව්.
"වස්තුවක් සමතුලිත නම්, ඕනෑම ලක්ෂ්‍යයක් වටා වාමාවර්ත ඝූර්ණවල එකතුව සහ දක්ෂිණාවර්ත ඝූර්ණවල එකතුව අතර සබඳතාවය කුමක්ද?",එකිනෙකට සමාන වේ.
"බල ත්‍රිකෝණ නියමයේදී, බල 3 නිරූපණය කරන්නේ ත්‍රිකෝණයක පාද මගින් ____ අනුවයි.",විශාලත්වය සහ දිශාව.
"තන්තුවක් සැහැල්ලු හා සුමට කප්පියක් හරහා යන්නේ නම්, තන්තුවේ දෙපස ආතතිය කෙබඳුද?",සමාන වේ.
ඝර්ෂණ බලයේ ($F$) අගය රඳා පවතින එක් සාධකයක් සඳහන් කරන්න.,පෘෂ්ඨයේ රළු හෝ සුමට බව (පෘෂ්ඨයේ ස්වභාවය).
බලයක ක්‍රියාව සහ ප්‍රතික්‍රියාව සැමවිටම එකම වස්තුවක් මත ක්‍රියා කරයිද?,"නැත, වස්තූන් දෙකක් මත ක්‍රියා කරයි."
