තාපය සංක්‍රමණය වන ප්‍රධාන ක්‍රම තුන මොනවාද?,"1. තාප සන්නයනය, 2. තාප සංවහනය සහ 3. තාප විකිරණය."
තරල (ද්‍රව සහ වායු) තුළ ප්‍රධාන වශයෙන් තාපය සංක්‍රමණය වන ක්‍රමය කුමක්ද?,තාප සංවහනය (Convection).
අංශු එක් ස්ථානයක සිට තවත් ස්ථානයකට ගමන් කිරීම මගින් තාපය ගෙන යාමේ ක්‍රියාවලිය හඳුන්වන්නේ කුමන නමකින්ද?,තාප සංවහනය.
තාප සංවහනය ප්‍රධාන වශයෙන් බෙදා දැක්විය හැකි ආකාර දෙක මොනවාද?,1. ස්වභාවික සංවහනය සහ 2. කෘත්‍රිම (සසම්භව) සංවහනය.
ස්වභාවික සංවහනය සිදුවීමට ප්‍රධාන වශයෙන් බලපාන සාධකය කුමක්ද?,ස්වභාවික සංවහන ධාරා ඇතිවීම.
කෘත්‍රිම සංවහනය සිදුවීම සඳහා භාවිතා කළ හැකි බාහිර උපක්‍රමයක් සඳහන් කරන්න.,පංකා (Fans) හෝ පොම්ප භාවිතා කිරීම.
ස්වභාවික සංවහනයට වඩා කෘත්‍රිම සංවහනය වේගවත් වීමට හේතුව කුමක්ද?,බාහිර බලපෑමක් මගින් අංශු චලනය කිරීමේ වේගය වැඩි කිරීම.
සංවහන සීඝ්‍රතාව කෙරෙහි බලපාන පෘෂ්ඨික සාධකයක් නම් කරන්න.,පෘෂ්ඨ වර්ගඵලය (පෘෂ්ඨ වර්ගඵලය වැඩි වන විට සංවහන සීඝ්‍රතාව වැඩි වේ).
පද්ධතියක් සහ වටපිටාව අතර උෂ්ණත්ව වෙනස $(\theta - \theta_0)$ වැඩි වන විට සංවහන සීඝ්‍රතාවයට කුමක් සිදුවේද?,සංවහන සීඝ්‍රතාවය වැඩි වේ.
'තාප හානිවීමේ සීඝ්‍රතාව' යන්න භෞතික විද්‍යාත්මකව අර්ථ දක්වන්නේ කෙසේද?,ඒකක කාලයකදී පද්ධතියකින් පිටවන තාප ප්‍රමාණයයි ($\frac{\Delta Q}{\Delta t}$).
'සීතලන සීඝ්‍රතාව' (Rate of cooling) යන්නෙන් අදහස් වන්නේ කුමක්ද?,ඒකක කාලයකදී පද්ධතියක සිදුවන උෂ්ණත්ව අඩුවීමයි ($\frac{\Delta \theta}{\Delta t}$).
තාප හානිවීමේ සීඝ්‍රතාව සහ සීතලන සීඝ්‍රතාව අතර ඇති සම්බන්ධතාවය ලියන්න.,$\frac{\Delta Q}{\Delta t} = mc \left( \frac{\Delta \theta}{\Delta t} \right)$.
නිව්ටන්ගේ සිසිලන නියමයට අනුව තාප හානිවීමේ සීඝ්‍රතාව සහ උෂ්ණත්ව වෙනස $(\theta - \theta_0)$ අතර සම්බන්ධය කුමක්ද?,"තාප හානිවීමේ සීඝ්‍රතාව, උෂ්ණත්ව වෙනසට අනුලෝමව සමානුපාතික වේ."
නිව්ටන්ගේ සිසිලන නියමය ගණිතමය වශයෙන් ප්‍රකාශ කරන්න.,$\left( \frac{\Delta Q}{\Delta t} \right) = kA(\theta - \theta_0)$.
නිව්ටන්ගේ සිසිලන නියමය වලංගු වීමට නම් පද්ධතිය සහ වටපිටාව අතර උෂ්ණත්ව වෙනස දළ වශයෙන් කෙබඳු විය යුතුද?,$20^\circ C$ ත් $30^\circ C$ ත් අතර කුඩා අගයක් විය යුතුය.
සිසිලන නියමයේ එන $k$ නියතය රඳා පවතින ප්‍රධාන සාධකය කුමක්ද?,තාපය පිටවන පෘෂ්ඨයේ ස්වභාවය.
සිසිලන නියමය ඇසුරෙන් සීතලන සීඝ්‍රතාව $(\frac{\Delta \theta}{\Delta t})$ සහ උෂ්ණත්ව වෙනස $(\theta - \theta_0)$ අතර සම්බන්ධය දක්වන්න.,$\frac{\Delta \theta}{\Delta t} = \frac{kA}{mc} (\theta - \theta_0)$.
"සීතලන සීඝ්‍රතාව $(\frac{\Delta \theta}{\Delta t})$, $(\theta - \theta_0)$ ට අනුලෝමව සමානුපාතික වීමට අවශ්‍ය අනෙකුත් නියත සාධක මොනවාද?","$k, A, m$ සහ $c$ යන අගයන් නියත විය යුතුය."
සීතලන වක්‍රයක $(\theta$ එදිරිව $t)$ කිසියම් ලක්ෂ්‍යයකදී ඇඳි ස්පර්ශකයේ බෑවුමෙන් නිරූපණය වන්නේ කුමක්ද?,එම උෂ්ණත්වයේදී පවතින සීතලන සීඝ්‍රතාවයයි ($\frac{d\theta}{dt}$).
සීතලන සීඝ්‍රතාව $(\frac{d\theta}{dt})$ and උෂ්ණත්ව වෙනස $(\theta - \theta_0)$ අතර ප්‍රස්ථාරයේ හැඩය කුමක්ද?,මූල ලක්ෂ්‍යය හරහා යන සරල රේඛාවකි.
අංශුවල මධ්‍ය පිහිටීම වෙනස් නොවී චාලක ශක්තිය හුවමාරු වීමෙන් තාපය ගමන් කිරීම _____ නම් වේ.,තාප සන්නයනය (Thermal conduction).
ලෝහ දණ්ඩක එක් කෙළවරකට තාපය ලබා දෙන විට ආරම්භක (අස්ථාවර) අවස්ථාවේදී සිදුවන ක්‍රියාවලීන් මොනවාද?,දණ්ඩේ උෂ්ණත්වය ඉහළ යාම සහ දණ්ඩ දිගේ තාපය සන්නයනය වීම.
හොඳින් අනවරණය කළ (Insulated) දණ්ඩක ස්ථාවර අවස්ථාවේදී සිදු වන තාප හුවමාරුව ගැන පැහැදිලි කරන්න.,දණ්ඩ දිගේ තාපය සන්නයනය වීම පමණක් සිදු වන අතර උෂ්ණත්වය කාලය සමග වෙනස් නොවේ.
ස්ථාවර අවස්ථාවේ පවතින අනවරණය කළ දණ්ඩක ඕනෑම ලක්ෂ්‍යයක් හරහා තාපය සන්නයනය වන සීඝ්‍රතාව $(\frac{Q}{t})$ කෙබඳුද?,දණ්ඩ දිගේ සෑම තැනකදීම නියත අගයක් ගනී.
තාප සන්නයන සීඝ්‍රතාව $(\frac{Q}{t})$ සඳහා වන මූලික සමීකරණය ලියන්න.,$\frac{Q}{t} = kA \left( \frac{\Delta \theta}{l} \right)$.
