සරල අනුවර්තී චලිතයක් (SHM) යන්නෙහි මූලික ගණිතමය අර්ථ දැක්වීම කුමක්ද?,$a = -kx$
සරල අනුවර්තී චලිතයක ත්වරණය ($a$) සහ විස්ථාපනය ($x$) අතර පවතින ප්‍රධාන සම්බන්ධතාවය කුමක්ද?,ත්වරණය විස්ථාපනයට සමානුපාතික වන අතර සැමවිටම විස්ථාපනයට විරුද්ධ දිශාවට ක්‍රියා කරයි.
සරල අනුවර්තී චලිතයක ත්වරණය සැමවිටම යොමු වී ඇත්තේ කුමන ලක්ෂ්‍යය දෙසටද?,දෝලන කේන්ද්‍රය හෙවත් සමතුලිත පිහිටුම දෙසට.
$a = -kx$ සමීකරණයේ $k$ නියතය කෝණික සංඛ්‍යාතය ($\omega$) ඇසුරින් දක්වන්න.,$k = \omega^2$
$\omega$ සහ $x$ ඇසුරින් සරල අනුවර්තී චලිතයක ත්වරණය සඳහා වන සමීකරණය ලියන්න.,$a = -\omega^2 x$
කාලය $t = 0$ වන විට විස්ථාපනය බිංදුව වන චලිතයක විස්ථාපනය ($y$) සඳහා කාලය ($t$) ඇසුරින් සමීකරණය කුමක්ද?,$y = A \sin \omega t$
සරල අනුවර්තී චලිතයක උපරිම ප්‍රවේගය ($v_{max}$) සඳහා සූත්‍රය කුමක්ද?,$v_{max} = A \omega$
සරල අනුවර්තී චලිතයක උපරිම ත්වරණයේ ($a_{max}$) විශාලත්වය සඳහා සූත්‍රය කුමක්ද?,$a_{max} = A \omega^2$
"ප්‍රවේගය ($v$), විස්ථාපනය ($x$) සහ විස්තාරය ($A$) අතර සම්බන්ධතාවය දක්වන සමීකරණය කුමක්ද?",$v = \omega \sqrt{A^2 - x^2}$
සමතුලිත පිහිටුමේදී (විස්ථාපනය $x=0$) වස්තුවක චාලක ශක්තිය ($E_k$) කෙබඳු අගයක් ගනීද?,එය උපරිම අගයක් ගනී.
විස්තාරක කෙළවරකදී (විස්ථාපනය $x=A$) වස්තුවක විභව ශක්තිය ($E_p$) කෙබඳු අගයක් ගනීද?,එය උපරිම අගයක් ගනී.
විස්තාරය ($A$) සහ දුනු නියතය ($k$) ඇසුරින් සරල අනුවර්තී චලිතයක මුළු ශක්තිය ($E_T$) සඳහා සමීකරණය ලියන්න.,$E_T = \frac{1}{2} k A^2$
සරල අසලකයක ආවර්ත කාලය ($T$) සඳහා වන සමීකරණය කුමක්ද?,$T = 2\pi \sqrt{\frac{l}{g}}$
ප්‍රත්‍යාස්ථතා නියතයන් $k_1$ සහ $k_2$ වන දුනු දෙකක් ශ්‍රේණිගතව සම්බන්ධ කළ විට ලැබෙන තුල්‍ය දුනු නියතය ($k_{eq}$) සොයන සූත්‍රය කුමක්ද?,$\frac{1}{k_{eq}} = \frac{1}{k_1} + \frac{1}{k_2}$
$k_1$ සහ $k_2$ නියතයන් සහිත දුනු දෙකක් සමාන්තරගතව සම්බන්ධ කළ විට තුල්‍ය දුනු නියතය ($k_{eq}$) කොපමණද?,$k_{eq} = k_1 + k_2$
බාහිර ප්‍රතිරෝධී බල හේතුවෙන් දෝලනයක විස්තාරය කාලයත් සමඟ ක්‍රමයෙන් අඩුවීමේ සංසිද්ධිය හඳුන්වන්නේ කුමන නමකින්ද?,අවගුණය (Damping).
අනුනාදය (Resonance) ඇතිවීමට බාහිර බලයේ සංඛ්‍යාතය සහ පද්ධතියේ ස්වභාවික සංඛ්‍යාතය අතර තිබිය යුතු සම්බන්ධතාවය කුමක්ද?,බාහිර බලයේ සංඛ්‍යාතය පද්ධතියේ ස්වභාවික සංඛ්‍යාතයට සමාන විය යුතුය.
සරල අනුවර්තී චලිතයක ත්වරණය ($a$) එදිරිව විස්ථාපනය ($x$) ප්‍රස්තාරයේ හැඩය විස්තර කරන්න.,එය මූල ලක්ෂ්‍යය හරහා යන සෘණ බෑවුමක් සහිත සරල රේඛාවකි.
ප්‍රවේගය ($v$) එදිරිව විස්ථාපනය ($x$) ප්‍රස්තාරයේ හැඩය කුමක්ද?,එය ඉලිප්සයකි.
විස්ථාපනය ($x$) සමඟ මුළු ශක්තිය ($E_T$) විචලනය වන ප්‍රස්තාරයේ හැඩය කුමක්ද?,$x$ අක්ෂයට සමාන්තරව පිහිටන තිරස් සරල රේඛාවකි.
කාලය $t=0$ වන විට දෝලකය පවතින කෝණික පිහිටුම හඳුන්වන නම කුමක්ද?,ආරම්භක කලා කෝණය (Initial Phase Angle).
බාටන්ගේ අසලකය පරීක්ෂණයේදී වැඩිම විස්තාරයකින් දෝලනය වන අසලකයේ විශේෂත්වය කුමක්ද?,එහි දිග ප්‍රේරක අසලකයේ දිගට සමාන වීම.
ත්වරණය $a$ කින් ඉහළට යන සෝපානයක් තුළ ඇති සරල අසලකයක ආවර්ත කාලය සඳහා භාවිතා කළ යුතු ඵලදායී ගුරුත්වජ ත්වරණය කොපමණද?,$g + a$
"ඒකාකාර වෘත්ත චලිතයක නෙරපනයක් SHM ලෙස සලකන විට, වෘත්තයේ අරය දෝලනයේ කුමන රාශියට සමාන වේද?",විස්තාරයට ($A$).
"විස්ථාපනය $y = A \sin \omega t$ වන විට, කාලය $t$ ඇසුරින් ත්වරණය සඳහා ප්‍රකාශනය ලියන්න.",$a = -A \omega^2 \sin \omega t$
විස්තාරක කෙළවරකදී ($x=A$) අංශුවක ක්ෂණික ප්‍රවේගයේ අගය කුමක්ද?,එය බිංදුවකි.
සරල අනුවර්තී චලිතයක යෙදෙන අංශුවක් මත ක්‍රියා කරන බලය ($F$) සහ විස්ථාපනය ($x$) අතර සම්බන්ධතාවය කුමක්ද?,$F = -kx$
අල්ප අවගුණයකදී (Light damping) විස්තාරය කාලයත් සමඟ විචලනය වන්නේ කෙසේද?,එය කාලයත් සමඟ ඝාතීය ලෙස (Exponentially) අඩුවේ.
දෝලනය නොවී කෙටිම කාලයකින් සමතුලිත පිහිටුමට පැමිණෙන අවගුණ අවස්ථාව කුමක්ද?,අවධි අවගුණය (Critical Damping).
සරල අනුවර්තී චලිතයක සංඛ්‍යාතය මනින සම්මත ඒකකය කුමක්ද?,හර්ට්ස් ($Hz$) හෝ $s^{-1}$.
කලා කෝණය $\phi$ ඇසුරින් විස්ථාපනය සඳහා වන පොදු සමීකරණය කුමක්ද?,$y = A \sin \phi$
එකම සංඛ්‍යාතය සහිත දෝලන දෙකක කලා කෝණ අතර වෙනස හඳුන්වන්නේ කුමන නමකින්ද?,කලා වෙනස (Phase Difference).
විස්ථාපනය $x$ වන විට දෝලකයක විභව ශක්තිය ($E_p$) සඳහා සමීකරණය ලියන්න.,$E_p = \frac{1}{2} k x^2$
$U$ නලයක ඇති ද්‍රව කඳක දෝලන කාලය ගණනය කිරීමේදී $l$ ලෙස භාවිත කරන්නේ කුමක්ද?,ද්‍රව කඳේ මුළු දිග.
ද්‍රවයක පාවෙන සිලින්ඩරයක දෝලන කාලය සෙවීමේදී $l$ ලෙස භාවිතා කරන්නේ කුමක්ද?,සමතුලිත අවස්ථාවේදී ද්‍රවය තුළ ගිලී ඇති උස.
නිදහසේ වැටෙන සෝපානයක් තුළ ඇති සරල අසලකයක ආවර්ත කාලයට කුමක් සිදුවේද?,එය අනන්තය වේ (දෝලනය නොවේ).
ගම්‍යතාවය ($P$) එදිරිව විස්ථාපනය ($x$) ප්‍රස්තාරයේ හැඩය කුමක්ද?,එය ඉලිප්සයකි.
සමතුලිත පිහිටුමේදී ($x=0$) ත්වරණයේ අගය කොපමණද?,එය බිංදුවකි.
චාලක ශක්තිය ($E_k$) එදිරිව විස්ථාපනය ($x$) ප්‍රස්තාරයේ හැඩය කුමක්ද?,එය පහළට විවෘත වූ පරාවලයකි.
විභව ශක්තිය ($E_p$) එදිරිව විස්ථාපනය ($x$) ප්‍රස්තාරයේ හැඩය කුමක්ද?,එය ඉහළට විවෘත වූ පරාවලයකි.
චාලක ශක්තිය ($E_k$) එදිරිව විභව ශක්තිය ($E_p$) ප්‍රස්තාරය සෘණ බෑවුමක් සහිත සරල රේඛාවක් වන්නේ මන්ද?,ඕනෑම මොහොතක $E_k$ සහ $E_p$ හි එකතුව නියතයක් වන බැවිනි.
ආවර්ත කාලය ($T$) සහ කෝණික සංඛ්‍යාතය ($\omega$) අතර සම්බන්ධතාවය කුමක්ද?,$T = \frac{2\pi}{\omega}$
"ආරෝපිත අංශුවක් සහිත අසලකයක් මත $F$ විද්‍යුත් බලයක් පහළට ක්‍රියා කරන්නේ නම්, ඵලදායී $g$ සඳහා ප්‍රකාශනය කුමක්ද?",$g + \frac{F}{m}$
$y = A \sin \omega t$ සමීකරණයට අනුව විස්ථාපන-කාල ප්‍රස්තාරය ආරම්භ වන ලක්ෂ්‍යය කුමක්ද?,"මූල ලක්ෂ්‍යය හෙවත් $(0, 0)$ ලක්ෂ්‍යය."
$y = A \sin \omega t$ සමීකරණයට අනුව ප්‍රවේග-කාල ප්‍රස්තාරය $t=0$ දී ආරම්භ වන අගය කුමක්ද?,උපරිම ප්‍රවේගය වන $A\omega$ අගයෙන්.
චලිතයක් SHM දැයි පරීක්ෂා කිරීමේදී පළමු පියවර ලෙස කළ යුත්තේ කුමක්ද?,පද්ධතියේ සමතුලිත පිහිටුම ලකුණු කිරීම.
SHM චලිතයක ත්වරණය සඳහා වන සමීකරණයේ ඍණ ලකුණෙන් අදහස් කරන්නේ කුමක්ද?,ත්වරණය සැමවිටම විස්ථාපනයට ප්‍රතිවිරුද්ධ දිශාවට පවතින බවයි.
අනුනාද ප්‍රස්තාරයේ විස්තාරය ($A$) එදිරිව බාහිර බලයේ සංඛ්‍යාතය ($f$) අතර උච්චය (Peak) ලැබෙන්නේ කවදාද?,බාහිර බලයේ සංඛ්‍යාතය පද්ධතියේ ස්වභාවික සංඛ්‍යාතයට සමාන වන විට.
අවගුණය වැඩි වන විට අනුනාද ප්‍රස්තාරයේ හැඩයට සිදුවන වෙනස කුමක්ද?,එහි උච්චය (Peak) පහත් වන අතර පළල් වේ.
සරල අනුවර්තී චලිතයක විස්ථාපනය $x$ වන විට මුළු ශක්තිය ($E_T$) සඳහා වන පොදු ප්‍රකාශනය ලියන්න.,$E_T = \frac{1}{2} m v^2 + \frac{1}{2} k x^2$
