"බාහිර අසමතුලිත බලයක් ක්‍රියා නොකරන තාක්, වස්තුවක් නිශ්චලව හෝ ඒකාකාර ප්‍රවේගයෙන් සරල රේඛීයව චලනය වන බව පවසන නියමය කුමක්ද?",නිව්ටන්ගේ පළමු නියමය.
වස්තුවක චලිත ස්වභාවය වෙනස් කිරීමට දක්වන අකමැත්ත හඳුන්වන නම කුමක්ද?,අවස්ථිතිය ($Inertia$).
වස්තුවක අවස්ථිතිය තීරණය කරන ප්‍රධාන සාධකය කුමක්ද?,එහි ස්කන්ධය.
නිශ්චලතාවයේ පවතින වස්තුවක් නිශ්චලවම තබා ගැනීමට හෝ ඒකාකාර ප්‍රවේගයෙන් චලනය වන වස්තුවක් එම චලිතයේම තබා ගැනීමට උත්සාහ කරන රාමු වර්ගය කුමක්ද?,අවස්ථිතික රාමු.
අවස්ථිතික රාමුවලදී නිව්ටන්ගේ නියම වලංගු වේද?,"ඔව්, නිව්ටන් නියම වලංගු වේ."
ත්වරණය වන රාමු හඳුන්වන්නේ කුමන නමකින්ද?,අවස්ථිතික නොවන රාමු.
අවස්ථිතික නොවන රාමු (ත්වරණය වන රාමු) සඳහා නිව්ටන්ගේ නියම වලංගු වේද?,"නැත, නිව්ටන් නියම වලංගු නොවේ."
"නිව්ටන්ගේ දෙවන නියමයට අනුව, වස්තුවක ගම්‍යතාවය වෙනස්වීමේ සීඝ්‍රතාව සමානුපාතික වන්නේ කුමකටද?",වස්තුව මත යෙදෙන අසමතුලිත බාහිර බලයට.
ගම්‍යතාවයේ වෙනස්වීමේ සීඝ්‍රතාව ගණනය කරන මූලික ප්‍රකාශනය ලියන්න.,$F \propto \frac{\Delta P}{t}$ හෙවත් $F \propto \frac{mv - mu}{t}$.
නිව්ටන්ගේ දෙවන නියමයෙන් ව්‍යුත්පන්න වන $F = ma$ සූත්‍රයේ $k$ නියතයේ අගය කොපමණද?,$k = 1$.
$F = ma$ යෙදීමේදී සැලකිය යුතු වැදගත් කරුණක් වන්නේ බලය සහ ත්වරණය පවතින _____ ය.,දිශාව එකම විය යුතුය.
$F = ma$ භාවිතා කිරීමේදී $F$ ලෙස ගත යුත්තේ කුමක්ද?,වස්තුව මත ක්‍රියා කරන සියලුම බලවල සම්ප්‍රයුක්ත බලය (අසමතුලිත බලය).
"නිව්ටන්ගේ තෙවන නියමයට අනුව, ඕනෑම ක්‍රියාවකට විශාලත්වයෙන් _____ සහ දිශාවෙන් _____ ප්‍රතික්‍රියාවක් පවතී.",සමාන; ප්‍රතිවිරුද්ධ.
නිව්ටන්ගේ තෙවන නියමයේ එන 'ක්‍රියාව' සහ 'ප්‍රතික්‍රියාව' බල යුගලයක් වීමට නම් ඒවා වස්තූන් කීයක් මත ක්‍රියා කළ යුතුද?,වස්තූන් දෙකක් මත.
ක්‍රියා සහ ප්‍රතික්‍රියා බල යුගලයක ස්වභාවය (Type of force) පිළිබඳ විශේෂත්වය කුමක්ද?,බල දෙකම එකම වර්ගයේ (උදා: දෙකම ස්පර්ශ බල) විය යුතුය.
ස්පර්ශ බල සඳහා උදාහරණ දෙකක් සඳහන් කරන්න.,අභිලම්භ ප්‍රතික්‍රියාව ($R$) සහ ආතතිය ($T$).
දුරස්ථ බල (ක්ෂේත්‍ර බල) සඳහා උදාහරණ දෙකක් සඳහන් කරන්න.,ගුරුත්වාකර්ෂණ බලය ($mg$) සහ චුම්භක බල.
ත්වරණයකින් තොරව (නිශ්චලව හෝ ඒකාකාර ප්‍රවේගයෙන්) පවතින ලිෆ්ටයක (Elevator) අභිලම්භ ප්‍රතික්‍රියාව ($R$) සඳහා සූත්‍රය කුමක්ද?,$R = mg$.
$a$ ත්වරණයකින් ඉහළට ගමන් කරන ලිෆ්ටයක සිටින මිනිසෙකු මත ක්‍රියා කරන අභිලම්භ ප්‍රතික්‍රියාව ($R$) සඳහා සූත්‍රය කුමක්ද?,$R = m(g + a)$.
$a$ ත්වරණයකින් පහළට ගමන් කරන ලිෆ්ටයක සිටින මිනිසෙකු මත ක්‍රියා කරන අභිලම්භ ප්‍රතික්‍රියාව ($R$) සඳහා සූත්‍රය කුමක්ද?,$R = m(g - a)$.
සුමට අවල කප්පියක දෙපස $M$ සහ $m$ ස්කන්ධ ($M > m$) එල්ලා ඇති විට පද්ධතියේ ත්වරණය ($a$) සෙවීමේ සූත්‍රය කුමක්ද?,$a = \frac{(M - m)g}{M + m}$.
