"චාපයක දිග ($s$), අරය ($r$) සහ කෝණික විස්ථාපනය ($\theta$) අතර සම්බන්ධය පෙන්වන සූත්‍රය කුමක්ද?",$s = r\theta$
කෝණික විස්ථාපනය ($\theta$) මැනීමට භාවිතා කරන SI ඒකකය කුමක්ද?,රේඩියන් ($\text{rad}$)
"රේඩියන් සහ අංශක අතර සම්බන්ධය අනුව, $\pi \text{ rad}$ අගය අංශක කීයද?",$180^\circ$
කෝණික ප්‍රවේගය ($\omega$) යන්න නිර්වචනය කරන සූත්‍රය කුමක්ද?,$\omega = \frac{\Delta\theta}{t}$
කෝණික ප්‍රවේගය ($\omega$) මැනීමේ SI ඒකකය කුමක්ද?,$\text{rad s}^{-1}$
කෝණික ප්‍රවේගයේ දිශාව සෙවීමට භාවිතා කරන නියමය කුමක්ද?,දකුණත් නියමය (Right-hand thumb rule)
ඒකාකාර කෝණික චලිතයකදී කෝණික විස්ථාපනය සෙවීමේ සූත්‍රය කුමක්ද?,$\theta = \omega t$
රේඛීය ප්‍රවේගය ($v$) සහ කෝණික ප්‍රවේගය ($\omega$) අතර සම්බන්ධය කුමක්ද?,$v = r\omega$
කෝණික ත්වරණය ($\alpha$) යන්න නිර්වචනය කරනු ලබන සූත්‍රය කුමක්ද?,$\alpha = \frac{\Delta\omega}{t}$
කෝණික ත්වරණය ($\alpha$) මැනීමේ SI ඒකකය කුමක්ද?,$\text{rad s}^{-2}$
රේඛීය ස්පර්ශක ත්වරණය ($a$) සහ කෝණික ත්වරණය ($\alpha$) අතර සම්බන්ධය කුමක්ද?,$a = r\alpha$
කෝණික ප්‍රවේගය ($\omega$) සහ ආවර්ත කාලය ($T$) අතර සම්බන්ධය කුමක්ද?,$T = \frac{2\pi}{\omega}$
කෝණික ප්‍රවේගය ($\omega$) සහ සංඛ්‍යාතය ($f$) අතර සම්බන්ධය කුමක්ද?,$\omega = 2\pi f$
"කෝණික චලිතය සඳහා වන සමීකරණ භාවිතා කිරීමේදී, වාමාවර්තව ($\\circlearrowleft$) සිදුවන චලිතය කුමන ලකුණකින් සලකනු ලබයිද?",ධන ($+$)
"කෝණික චලිතය සඳහා වන සමීකරණ භාවිතා කිරීමේදී, දක්ෂිණාවර්තව ($\\circlearrowright$) සිදුවන චලිතය කුමන ලකුණකින් සලකනු ලබයිද?",සෘණ ($-$)
"විස්ථාපනය, කාලය සහ ප්‍රවේග අතර සම්බන්ධයක් ඇති $\theta = \left(\frac{\omega_1 + \omega_2}{2}\right)t$ සූත්‍රය වලංගු වන්නේ කුමන අවස්ථාවකදීද?",ඒකාකාර කෝණික ත්වරණයක් පවතින විටදී පමණි.
කෝණික ප්‍රවේගය-කාලය ($\omega-t$) ප්‍රස්ථාරයක අනුක්‍රමණයෙන් (Gradient) නිරූපණය වන්නේ කුමක්ද?,කෝණික ත්වරණය ($\alpha$)
කෝණික ප්‍රවේගය-කාලය ($\omega-t$) ප්‍රස්ථාරයක වර්ගඵලයෙන් නිරූපණය වන්නේ කුමක්ද?,කෝණික විස්ථාපනය ($\theta$)
වස්තුවක අවස්ථිති ඝූර්ණය ($I$) රඳා පවතින ප්‍රධාන සාධක දෙක මොනවාද?,වස්තුවේ ස්කන්ධය සහ අක්ෂය වටා ස්කන්ධය ව්‍යාප්ත වී ඇති ආකාරය.
අවස්ථිති ඝූර්ණය ($I$) මැනීමේ SI ඒකකය කුමක්ද?,$\text{kg m}^2$
ස්කන්ධය $M$ සහ අරය $R$ වන සිහින් වෘත්තාකාර වළල්ලක (Hoop) කේන්ද්‍රය හරහා යන අක්ෂය වටා අවස්ථිති ඝූර්ණය කොපමණද?,$I = MR^2$
ස්කන්ධය $M$ සහ අරය $R$ වන ඝන සිලින්ඩරයක හෝ තැටියක කේන්ද්‍රීය අක්ෂය වටා අවස්ථිති ඝූර්ණය කොපමණද?,$I = \frac{1}{2}MR^2$
ස්කන්ධය $M$ සහ අරය $R$ වන ඝන ගෝලයක අවස්ථිති ඝූර්ණය සඳහා සූත්‍රය කුමක්ද?,$I = \frac{2}{5}MR^2$
