සන්නායක ද්‍රව්‍යයක ඒකක පරිමාවක අඩංගු නිදහස් ඉලෙක්ට්‍රෝන සංඛ්‍යාව දළ වශයෙන් කොපමණද?,$8 \times 10^{22} \text{ cm}^{-3}$ පමණ වේ.
අර්ධ සන්නායක ද්‍රව්‍යයක (උදා: සිලිකන්) කාමර උෂ්ණත්වයේදී නිදහස් ඉලෙක්ට්‍රෝන ඝනත්වය කොපමණද?,$2 \times 10^{10} \text{ cm}^{-3}$ ට වඩා අඩු අගයකි.
සන්නායකයක් තුළ ඉලෙක්ට්‍රෝන ප්‍රවාහය සිදුවන දිශාවට _____ දිශාවට සම්මත විද්‍යුත් ධාරාවේ දිශාව පවතී.,ප්‍රතිවිරුද්ධ
විද්‍යුත් ධාරාව ($I$) අර්ථ දක්වනු ලබන්නේ ආරෝපණ ගලා යාමේ _____ ලෙසයි.,ශීඝ්‍රතාව
ධාරාව මැනීමේ $SI$ ඒකකය වන ඇම්පියරය ($A$) තත්පරයට _____ ($C \text{ s}^{-1}$) වලට සමාන වේ.,කුලෝම
සන්නායකයක් තුළින් ධාරාව ගලා යන විට ඉලෙක්ට්‍රෝනවල සාමාන්‍ය ප්‍රවේගය හඳුන්වන නම කුමක්ද?,ප්ලාවිත ප්‍රවේගය ($v$)
"ධාරාව ($I$), ඉලෙක්ට්‍රෝන ඝනත්වය ($n$), හරස්කඩ වර්ගඵලය ($A$), ප්ලාවිත ප්‍රවේගය ($v$) සහ ආරෝපණය ($e$) අතර සම්බන්ධය කුමක්ද?",$I = nAve$
ධාරා ඝනත්වය ($J$) යනු සන්නායකයක _____ වර්ගඵලයක් හරහා ගලා යන ධාරාවයි.,ඒකක හරස්කඩ
ධාරා ඝනත්වය ($J$) මැනීමේ ඒකකය කුමක්ද?,$A \text{ m}^{-2}$
"ඕම්ගේ නියමය අනුව, උෂ්ණත්වය සහ අනෙකුත් භෞතික සාධක නියතව පවතින විට $V$ සහ $I$ අතර සම්බන්ධය _____ වේ.",අනුලෝම සමානුපාතික ($V \propto I$)
ඕම්ගේ නියමයේ සමානුපාතික නියතය ලෙස හැඳින්වෙන්නේ කුමක්ද?,විද්‍යුත් ප්‍රතිරෝධය ($R$)
"ප්‍රතිරෝධය ($R$) සන්නායකයේ දිග ($l$) ට අනුලෝමවද, හරස්කඩ වර්ගඵලය ($A$) ට _____ ද සමානුපාතික වේ.",ප්‍රතිලෝමව
ප්‍රතිරෝධකතාව ($ho$) යනු ඒකක දිගක් හා ඒකක හරස්කඩ වර්ගඵලයක් ඇති ද්‍රව්‍යයක පවතින _____ වේ.,ප්‍රතිරෝධය
ප්‍රතිරෝධකතාව ($ho$) මැනීමේ ඒකකය කුමක්ද?,ඕම් මීටර් ($\Omega \text{ m}$)
මිශ්‍ර ලෝහවල ප්‍රතිරෝධකතාව ශුද්ධ ලෝහවල ප්‍රතිරෝධකතාවයට වඩා _____ අගයක් ගනී.,වැඩි
සන්නායකයක උෂ්ණත්වය වැඩි වන විට එහි ප්‍රතිරෝධය _____ වේ.,වැඩි
උෂ්ණත්වය සමග ප්‍රතිරෝධය විචලනය වන සමීකරණය $R_{\theta} = R_0(1 + \alpha \theta)$ හි $\alpha$ යනු කුමක්ද?,ප්‍රතිරෝධයේ උෂ්ණත්ව සංගුණකය
පරිවාරක ද්‍රව්‍යවල උෂ්ණත්වය වැඩි කරන විට නිදහස් ඉලෙක්ට්‍රෝන සංඛ්‍යාව වැඩි වීම නිසා එහි ප්‍රතිරෝධය _____ වේ.,අඩු
යම් නිශ්චිත උෂ්ණත්වයකට (අවධි උෂ්ණත්වය) වඩා අඩු වූ විට ද්‍රව්‍යයක ප්‍රතිරෝධය මුළුමනින්ම ශුන්‍ය වීම හඳුන්වන්නේ කෙසේද?,සුපිරි සන්නායකතාව (Superconductivity)
සුපිරි සන්නායකවල ඇති සුවිශේෂී ගුණයක් ලෙස ඒවායේ තාප විද්‍යුත් ගුණ පවතින්නේ _____.,නැත
සන්නායකතාවය සඳහා භාවිතා වන නියෝබියම්-ටින් ($Nb-Sn$) මිශ්‍ර ලෝහයේ අවධි උෂ්ණත්වය කොපමණද?,$9 \text{ K}$
ඕම්ගේ නියමය පිළිපදින සන්නායක _____ ලෙස හැඳින්වේ.,ඕමික සන්නායක
ඩයෝඩයක් ඕමික නොවන සන්නායකයකට උදාහරණයකි. එහි $I - V$ ප්‍රස්ථාරය _____ නොවේ.,සරල රේඛීය
"ශ්‍රේණිගතව සම්බන්ධ කර ඇති $R_1, R_2, R_3$ ප්‍රතිරෝධවල සමක ප්‍රතිරෝධය ($R_s$) සෙවීමේ සූත්‍රය කුමක්ද?",$R_s = R_1 + R_2 + R_3$
සමාන්තරගතව සම්බන්ධ කර ඇති ප්‍රතිරෝධක පද්ධතියක සියලුම ප්‍රතිරෝධක හරහා _____ සමාන අගයක් ගනී.,විභව අන්තරය ($V$)
සමාන්තරගතව පවතින ප්‍රතිරෝධක තුනක සමක ප්‍රතිරෝධය ($R_p$) සෙවීමේ සූත්‍රය කුමක්ද?,$\frac{1}{R_p} = \frac{1}{R_1} + \frac{1}{R_2} + \frac{1}{R_3}$
විභව බෙදුම්කරුවක ($V_{out} = \frac{R_2}{R_1 + R_2} V_{in}$) මෙහෙයුම මගින් සැපයුම් වෝල්ටීයතාවයේ _____ පමණක් ලබාගත හැක.,අවශ්‍ය කොටසක්
ප්‍රතිරෝධකයක් හරහා ධාරාවක් ගලා යන විට උත්පාදනය වන තාප ශක්තිය ($W$) සඳහා වන සමීකරණය (විභවය $V$ සහ ආරෝපණය $Q$ ඇසුරින්) ලියන්න.,$W = QV$ හෝ $W = VIt$
විද්‍යුත් ක්ෂමතාව ($P$) මැනීමේ $SI$ ඒකකය කුමක්ද?,වොට් ($W$) හෝ $J \text{ s}^{-1}$
"ප්‍රතිරෝධකයක් ($R$) හරහා ගලා යන ධාරාව $I$ නම්, එහි ක්ෂමතාව $P$ සෙවීමේ සූත්‍රය කුමක්ද?",$P = I^2 R$ (හෝ $P = VI$ හෝ $P = \frac{V^2}{R}$)
විදුලි බල මණ්ඩලය විසින් පාරිභෝගිකයින්ට විකුණනු ලබන විද්‍යුත් ශක්ති ඒකකයක් හඳුන්වන නම කුමක්ද?,කිලෝවොට් පැය ($kWh$)
එක් කිලෝවොට් පැය ($1 \text{ kWh}$) ඒකකයක් ජූල් ($J$) කීයකට සමානද?,$3.6 \times 10^6 \text{ J}$
සරල කෝෂයක භාවිතා කරන ඉලෙක්ට්‍රෝඩ දෙක කුමක්ද?,තඹ ($Cu$) සහ සින්ක් ($Zn$)
සරල කෝෂයක ඉලෙක්ට්‍රොලයිටය ලෙස භාවිතා කරන්නේ කුමක්ද?,තනුක සල්ෆියුරික් අම්ලය (තනුක $H_2SO_4$)
ඩයිනමෝවකදී සිදු වන ශක්ති පරිවර්තනය කුමක්ද?,යාන්ත්‍රික ශක්තිය විද්‍යුත් ශක්තිය බවට පත් වේ.
විද්‍යුත්ගාමක බලය ($E$) යනු ඒකක ආරෝපණයක් පරිපථය හරහා ගෙන යාමට සැපයිය යුතු _____ ප්‍රමාණයයි.,විද්‍යුත් ශක්ති
විද්‍යුත්ගාමක බලයේ ඒකකය කුමක්ද?,$J \text{ C}^{-1}$ හෝ වෝල්ට් ($V$)
ධාරාව සපයන කෝෂයක් තුළ පවතින ප්‍රතිරෝධය _____ ලෙස හැඳින්වේ.,අභ්‍යන්තර ප්‍රතිරෝධය ($r$)
"විද්‍යුත්ගාමක බලය ($E$), අග්‍රස්ථ විභව අන්තරය ($V$) සහ අභ්‍යන්තර ප්‍රතිරෝධයේ විභව බැස්ම අතර සම්බන්ධය කුමක්ද?",$E = V + Ir$
