ශක්තිය සම්ප්‍රේෂණය වන ස්වභාවය අනුව තරංග බෙදිය හැකි ප්‍රධාන ආකාර දෙක කුමක්ද?,ප්‍රගමන තරංග සහ ස්ථාවර තරංග
ප්‍රගමන තරංගයක ශක්තිය සම්ප්‍රේෂණය වන්නේ කුමන දිශාවටද?,තරංගය ප්‍රචාරණය වන දිශාවට
ස්ථාවර තරංගවල ශක්ති සම්ප්‍රේෂණය පිළිබඳව ඇති විශේෂත්වය කුමක්ද?,ශක්තිය සම්ප්‍රේෂණය වීමක් සිදු නොවේ (ශක්තිය දේශීයකරණය වී පවතී)
සමාන ප්‍රගමන තරංග දෙකක් ප්‍රතිවිරුද්ධ දිශාවලින් පැමිණ අධිස්ථාපනය වීමෙන් ඇතිවන්නේ කුමන තරංගද?,ස්ථාවර තරංග
ප්‍රගමන තරංගයක ඇති සියලුම අංශුවල විස්තාරය පිළිබඳව පැවසිය හැක්කේ කුමක්ද?,සියලුම අංශු එකම උපරිම විස්තාරයකින් කම්පනය වේ
ස්ථාවර තරංගයක විස්තාරය ශූන්‍ය වන ලක්ෂ්‍ය හඳුන්වන නම කුමක්ද?,නිශ්පන්ද (Nodes)
ස්ථාවර තරංගයක විස්තාරය උපරිම වන ලක්ෂ්‍ය හඳුන්වන නම කුමක්ද?,ප්‍රශ්පන්ද (Antinodes)
ස්ථාවර තරංගයක නිශ්පන්ද ලක්ෂ්‍යයක පීඩන විචලනය කෙබඳුද?,පීඩන විචලනය උපරිම වේ
ස්ථාවර තරංගයක ප්‍රශ්පන්ද ලක්ෂ්‍යයක පීඩන විචලනය කෙබඳුද?,පීඩන විචලනය අවම (ශූන්‍ය) වේ
ස්ථාවර තරංගයක යාබද නිශ්පන්ද දෙකක් අතර පිහිටි සියලුම අංශුවල කලාව පිළිබඳව පැවසිය හැක්කේ කුමක්ද?,සියලුම අංශු එකම කලාවේ පවතී
තන්තුවක් දිගේ තරංගයක වේගය ($v$) සෙවීමට ආතතිය ($T$) සහ ඒකක දිගක ස්කන්ධය ($m$) ඇසුරින් සූත්‍රය ලියන්න.,$v = \sqrt{\frac{T}{m}}$
තන්තුවක ඒකක දිගක ස්කන්ධය ($m$) ගණනය කරන ආකාරය විස්තර කරන්න.,$m = \frac{M}{L}$ (මුළු ස්කන්ධය / මුළු දිග)
"තන්තුවක ප්‍රවේගය සඳහා ආතතිය ($T$), හරස්කඩ වර්ගඵලය ($A$) සහ ඝනත්වය ($\rho$) ඇසුරින් සූත්‍රය කුමක්ද?",$v = \sqrt{\frac{T}{\rho A}}$
දෙකළවර බද්ධ තන්තුවක ඇතිවිය හැකි මූලික සංඛ්‍යාතය ($f_0$) සඳහා සූත්‍රය කුමක්ද?,$f_0 = \frac{1}{2l} \sqrt{\frac{T}{m}}$
ස්ථාවර තරංගයක යාබද නිශ්පන්ද දෙකක් අතර දුර තරංග ආයාමය ($\lambda$) ඇසුරින් කොපමණද?,$\frac{\lambda}{2}$
ස්ථාවර තරංගයක යාබද නිශ්පන්දයක් සහ ප්‍රශ්පන්දයක් අතර දුර කොපමණද?,$\frac{\lambda}{4}$
දෙකළවර බද්ධ තන්තුවක ඇතිවිය හැකි අනුවාද (Harmonics) මොනවාද?,සියලුම අනුවාද (ඔත්තේ සහ ඉරට්ටේ) ඇතිවේ
දෙකළවර බද්ධ තන්තුවක අනුවාද අංකය ($P$) සහ උපරිය අංකය ($n$) අතර සම්බන්ධය කුමක්ද?,$P = n + 1$
