වස්තුවක පවතින තාප මට්ටම හඳුන්වන නම කුමක්ද?,උෂ්ණත්වය
තාපය ගලා යන දිශාව තීරණය කරනු ලබන සාධකය කුමක්ද?,උෂ්ණත්වය
තාප ගතික විද්‍යාවේ ශුන්‍යතම නියමය (Zeroth Law) මගින් විස්තර කෙරෙන ප්‍රධාන සංකල්පය කුමක්ද?,තාප සමතුලිතතාව
"A සහ B වස්තූන් තාප සමතුලිතව ඇති අතර B සහ C ද තාප සමතුලිතව පවතී නම්, A සහ C අතර ඇති සම්බන්ධය කුමක්ද?",A සහ C ද තාප සමතුලිත වේ.
තාපය සැමවිටම ගලා යන්නේ කුමන ස්ථානයක සිට කුමන ස්ථානයකටද?,වැඩි උෂ්ණත්වයේ සිට අඩු උෂ්ණත්වයට
පදාර්ථයක් තාපය ලබා ගැනීමේදී හෝ පිට කිරීමේදී සිදු විය හැකි ප්‍රධාන විපර්යාස දෙක කුමක්ද?,උෂ්ණත්ව විපර්යාසය සහ අවස්ථා විපර්යාසය
වස්තුවක උෂ්ණත්වය ඉහළ යාම යනු එම වස්තුවේ අංශුවල කුමන ශක්තියේ වැඩි වීමක්ද?,මධ්‍යන්‍ය චාලක ශක්තිය
"වස්තුවක උෂ්ණත්වය ඒකක ප්‍රමාණයකින් ($1 K$ හෝ $1 \,^{\circ}C$) වෙනස් කිරීමට ලබා දිය යුතු තාපය හඳුන්වන්නේ කුමන නමකින්ද?",තාප ධාරිතාව ($C$)
තාප ධාරිතාව සෙවීම සඳහා භාවිතා කරන සූත්‍රය කුමක්ද?,$Q = C\theta$
තාප ධාරිතාව මැනීම සඳහා භාවිතා කරන සම්මත ($SI$) ඒකකය කුමක්ද?,$JK^{-1}$
තාප ධාරිතාව මැනීම සඳහා භාවිතා කරන තවත් එක් ඒකකයක් සඳහන් කරන්න.,"$J \,^{\circ}C^{-1}$"
ද්‍රව්‍යයක ඒකක ස්කන්ධයක උෂ්ණත්වය ඒකක ප්‍රමාණයකින් වෙනස් කිරීමට ලබා දිය යුතු තාපය කුමක්ද?,විශිෂ්ට තාප ධාරිතාව ($c$)
විශිෂ්ට තාප ධාරිතාව ඇතුළත් තාප සමීකරණය කුමක්ද?,$Q = mc\theta$
විශිෂ්ට තාප ධාරිතාවයේ $SI$ ඒකකය කුමක්ද?,$Jkg^{-1}K^{-1}$
තාප ධාරිතාව ($C$) සහ විශිෂ්ට තාප ධාරිතාව ($c$) අතර ඇති ගණිතමය සම්බන්ධතාවය කුමක්ද?,$C = mc$
විශිෂ්ට තාප ධාරිතාව ($c$) තීරණය වන සාධක දෙකක් සඳහන් කරන්න.,ද්‍රව්‍යයේ ස්වභාවය සහ පදාර්ථයේ අවස්ථාව
පදාර්ථයක අවස්ථා විපර්යාසයක් සිදු වන විට උෂ්ණත්වයට සිදු වන්නේ කුමක්ද?,උෂ්ණත්වය වෙනස් නොවේ (නියතව පවතී).
අවස්ථා විපර්යාසයකදී උෂ්ණත්වය වෙනස් නොවී ලබා ගන්නා හෝ පිට කරන තාපය හඳුන්වන්නේ කුමන නමකින්ද?,ගුප්ත තාපය
අවස්ථා විපර්යාසයකදී උෂ්ණත්වය ($T$) නියත නිසා අංශුවල චාලක ශක්තියට ($E_{k}$) සිදු වන්නේ කුමක්ද?,$E_{k}$ නියතව පවතී.
අවස්ථා විපර්යාසයකදී පදාර්ථයේ අභ්‍යන්තර ශක්තිය වැඩි වීමට බලපාන සාධකය කුමක්ද?,අංශුවල මධ්‍යන්‍ය විභව ශක්තිය වැඩි වීම
ද්‍රවාංකයේ පවතින ඒකක ස්කන්ධයක් උෂ්ණත්ව විපර්යාසයකින් තොරව ද්‍රව කිරීම සඳහා ලබා දිය යුතු තාපය කුමක්ද?,විලයනයේ විශිෂ්ට ගුප්ත තාපය ($L_{f}$)
විලයනය සඳහා අවශ්‍ය තාපය සෙවීමට භාවිතා කරන සූත්‍රය කුමක්ද?,$Q = mL_{f}$
තාපාංකයේ පවතින ඒකක ස්කන්ධයක් උෂ්ණත්ව විපර්යාසයකින් තොරව වායු බවට පත් කිරීමට ලබා දිය යුතු තාපය කුමක්ද?,වාෂ්පීකරණයේ විශිෂ්ට ගුප්ත තාපය ($L_{v}$)
වාෂ්පීකරණය සඳහා අවශ්‍ය තාපය සෙවීමට භාවිතා කරන සූත්‍රය කුමක්ද?,$Q = mL_{v}$
සාමාන්‍යයෙන් ඕනෑම ද්‍රව්‍යයක් සඳහා $L_{v}$ සහ $L_{f}$ අතර පවතින විශාලත්ව සම්බන්ධතාවය කුමක්ද?,$L_{v} \gg L_{f}$
ජලය සඳහා වාෂ්පීකරණයේ විශිෂ්ට ගුප්ත තාපය ($L_{v}$) සහ විලයනයේ විශිෂ්ට ගුප්ත තාපය ($L_{f}$) අතර දළ සම්බන්ධතාවය කුමක්ද?,$L_{v} \approx 7L_{f}$
තාප සැපයුම් සීඝ්‍රතාවය (Power) උෂ්ණත්ව වෙනස් වීමේ සීඝ්‍රතාවය ඇසුරින් ලියන්න.,$P = mc\left(\frac{\theta}{t}\right)$
තාප සැපයුම් සීඝ්‍රතාවය (Power) ස්කන්ධය වෙනස් වීමේ සීඝ්‍රතාවය ඇසුරින් ලියන්න.,$P = \left(\frac{m}{t}\right)L$
අවස්ථා විපර්යාසයකදී පරිමාව වැඩි වන ද්‍රව්‍යයකට පීඩනය වැඩි කළ විට එහි ද්‍රවාංකය හා තාපාංකයට කුමක් සිදු වේද?,ද්‍රවාංකය සහ තාපාංකය වැඩි වේ.
අවස්ථා විපර්යාසයකදී පරිමාව අඩු වන ද්‍රව්‍යයකට පීඩනය වැඩි කළ විට එහි ද්‍රවාංකය හා තාපාංකයට කුමක් සිදු වේද?,ද්‍රවාංකය සහ තාපාංකය අඩු වේ.
අංශු අතර ආකර්ෂණ බල වැඩි කරන අපද්‍රව්‍යයක් එකතු කළ විට ද්‍රවාංකයට හා තාපාංකයට සිදු වන්නේ කුමක්ද?,ද්‍රවාංකය සහ තාපාංකය වැඩි වේ.
