ග්‍රහලෝක වල චලිතය පිළිබඳ ඉලිප්සීය කක්ෂ සහ පරිභ්‍රමණ කාලාන්තර වාර්තා කරන ලද්දේ කිනම් විද්‍යාඥයා විසින්ද?,කෙප්ලර් විසින්.
විශ්වයේ පවතින ඕනෑම ස්කන්ධ දෙකක් අතර පවතින ආකර්ෂණ බලය හඳුන්වන නම කුමක්ද?,ගුරුත්වාකර්ෂණ බලය.
නිව්ටන් විසින් ගුරුත්වාකර්ෂණය පිළිබඳ නියමය ප්‍රකාශයට පත් කළ වර්ෂය කුමක්ද?,වර්ෂ 1666 දී.
නිව්ටන්ගේ සාර්වත්‍ර ගුරුත්වාකර්ෂණ නියමය ප්‍රකාශ කරන්න.,"විශ්වයේ ඕනෑම වස්තු දෙකක් අතර අන්‍යෝන්‍ය ආකර්ෂණ බලයක් ක්‍රියා කරන අතර, එම බලය ස්කන්ධවල ගුණිතයට අනුලෝමවත් දුරෙහි වර්ගයට ප්‍රතිලෝමවත් සමානුපාතික වේ."
ස්කන්ධ $M$ සහ $m$ වන වස්තු දෙකක් $r$ දුරකින් පවතින විට ඒවා අතර ගුරුත්වාකර්ෂණ බලය ($F$) සඳහා සමීකරණය කුමක්ද?,$F = G \frac{Mm}{r^2}$
සාර්වත්‍ර ගුරුත්වාකර්ෂණ නියතය ($G$) සඳහා සම්මත අගය ඒකක සහිතව සඳහන් කරන්න.,$G = 6.67 \times 10^{-11} \text{ N m}^2 \text{ kg}^{-2}$
ගුරුත්වාකර්ෂණ ක්ෂේත්‍රයක් යනු කුමක්ද?,ස්කන්ධයක් වටා ගුරුත්වාකර්ෂණ බල බලපාන ප්‍රදේශයයි.
ගුරුත්වාකර්ෂණ ක්ෂේත්‍ර තීව්‍රතාවය ($g$) යන්නෙහි අර්ථ දැක්වීම කුමක්ද?,ගුරුත්වාකර්ෂණ ක්ෂේත්‍රයක යම් ලක්ෂ්‍යයක තබන ලද ඒකක ස්කන්ධයක් මත ක්‍රියා කරන ගුරුත්වාකර්ෂණ බලයයි.
ගුරුත්වාකර්ෂණ ක්ෂේත්‍ර තීව්‍රතාවය ($g$) ගණනය කිරීමේ මූලික සමීකරණය කුමක්ද?,$g = \frac{F}{m}$
ගුරුත්වාකර්ෂණ ක්ෂේත්‍ර තීව්‍රතාවයේ ($g$) සම්මත ඒකකය කුමක්ද?,$\text{N kg}^{-1}$
ලක්ෂ්‍යමය ස්කන්ධයක ($M$) සිට $r$ දුරකදී ක්ෂේත්‍ර තීව්‍රතාවය ($g$) සඳහා සමීකරණය ලියන්න.,$g = G \frac{M}{r^2}$
ගුරුත්වාකර්ෂණ ක්ෂේත්‍ර තීව්‍රතාවය යනු _____ රාශියකි.,දෛශික
ලක්ෂ්‍යමය ස්කන්ධයක සිට දුර ($r$) වැඩි වන විට ක්ෂේත්‍ර තීව්‍රතාවය ($g$) විචලනය වන ආකාරය ප්‍රස්ථාරිකව දැක්වූ විට ලැබෙන හැඩය කුමක්ද?,බහුවලයික හැඩයකි.
ගෝලීය ස්කන්ධයක් පිටත පිහිටි ලක්ෂ්‍යයක තීව්‍රතාවය සෙවීමේදී මුළු ස්කන්ධය කොතැනක පිහිටා ඇතැයි උපකල්පනය කරයිද?,ගෝලයේ කේන්ද්‍රයේ.
ගෝලීය පෘෂ්ඨය මත හෝ පෘෂ්ඨයට ඉතා ආසන්නව ගුරුත්වාකර්ෂණ ක්ෂේත්‍ර තීව්‍රතාවය ($g$) සඳහා සමීකරණය කුමක්ද?,$g = G \frac{M}{R^2}$
ගුරුත්වාකර්ෂණ විභවය ($V$) යනු කුමක්ද?,අනන්තයේ සිට යම් ලක්ෂ්‍යයකට ඒකක ස්කන්ධයක් ගෙන ඒමේදී ක්ෂේත්‍රය මගින් සිදු කරනු ලබන කාර්යයයි.
ස්කන්ධයක සිට $r$ දුරකදී ගුරුත්වාකර්ෂණ විභවය ($V$) සඳහා සමීකරණය කුමක්ද?,$V = -G \frac{M}{r}$
ගුරුත්වාකර්ෂණ විභව ප්‍රකාශනයේ පවතින සෘණ ලකුණෙන් අදහස් වන්නේ කුමක්ද?,අදාළ කාර්යය ක්ෂේත්‍රයට එරෙහිව නොව ක්ෂේත්‍රය මගින්ම සිදු කරන බවයි.
ගුරුත්වාකර්ෂණ විභවය යනු _____ රාශියකි.,අදිශ
ගුරුත්වාකර්ෂණ ක්ෂේත්‍රයක විභවය $V$ වන ලක්ෂ්‍යයක තබන ලද $m$ ස්කන්ධයක විභව ශක්තිය ($E$) සඳහා සමීකරණය කුමක්ද?,$E = mV$ (නැතහොත් $E = -G \frac{Mm}{r}$)
පෘථිවි පෘෂ්ඨය මත ඇති $m$ ස්කන්ධයක බර සහ ගුරුත්වාකර්ෂණ බලය අතර සම්බන්ධය ඇසුරින් $g$ සඳහා ප්‍රකාශනයක් ලබා ගන්න.,$mg = G \frac{Mm}{R^2} \implies g = G \frac{M}{R^2}$
පෘථිවි පෘෂ්ඨය මත $g$ හි අගය පෘථිවි කේන්ද්‍රයේ සිට දුර ($r$) සමග විචලනය වන ප්‍රස්ථාරයේ කේන්ද්‍රයේ සිට පෘෂ්ඨය ($r=R$) දක්වා කොටසේ ස්වභාවය කුමක්ද?,මූල ලක්ෂ්‍යය හරහා යන සරල රේඛාවකි ($g \propto r$).
පෘථිවි පෘෂ්ඨය ආසන්නයේදී $m$ ස්කන්ධයක් $h$ උසකට එසවීමේදී ලැබෙන අමතර විභව ශක්තිය $E = mgh$ ලෙස සැලකිය හැක්කේ කුමන කොන්දේසියක් යටතේද?,$h \ll R$ (එසවූ උස පෘථිවි අරයට වඩා ඉතා කුඩා වීම).
ස්වභාවික චන්ද්‍රිකාවකට උදාහරණයක් දෙන්න.,චන්ද්‍රයා (හඳ).
