වෘත්තාකාර පථයක චලනය වන වස්තුවක් මත පථයේ කේන්ද්‍රය දෙසට ක්‍රියා කරන බලය හඳුන්වන්නේ කුමන නමකින්ද?,කේන්ද්‍රාභිසාරී බලය
කේන්ද්‍රාභිසාරී බලය හේතුවෙන් වෘත්තයේ කේන්ද්‍රය දෙසට ඇති වන ත්වරණය හඳුන්වන්නේ කුමන නමකින්ද?,කේන්ද්‍රාභිසාරී ත්වරණය ($a_r$)
ප්‍රවේගය $v$ සහ පථයේ අරය $r$ ඇසුරින් කේන්ද්‍රාභිසාරී ත්වරණය ($a_r$) සඳහා වන සූත්‍රය කුමක්ද?,$a_r = \frac{v^2}{r}$
අරය $r$ සහ කෝණික ප්‍රවේගය $\omega$ ඇසුරින් කේන්ද්‍රාභිසාරී ත්වරණය ($a_r$) සඳහා වන සූත්‍රය කුමක්ද?,$a_r = r\omega^2$
ප්‍රවේගය $v$ සහ කෝණික ප්‍රවේගය $\omega$ ඇසුරින් කේන්ද්‍රාභිසාරී ත්වරණය ($a_r$) සඳහා වන සූත්‍රය කුමක්ද?,$a_r = v\omega$
ඒකාකාරී නොවන වෘත්ත චලිතයකදී සම්ප්‍රයුක්ත ත්වරණය ($a$) සමන්විත වන සංරචක දෙක කුමක්ද?,කේන්ද්‍රාභිසාරී ත්වරණය ($a_r$) සහ ස්පර්ශීය ත්වරණය ($a_t$)
ඒකාකාර වෘත්ත චලිතයකදී සම්ප්‍රයුක්ත ත්වරණය ($a$) සමාන වන්නේ කුමකටද?,කේන්ද්‍රාභිසාරී ත්වරණයට ($a = a_r$)
වෘත්ත චලිතය සම්බන්ධ ගැටලුවකදී බල ලකුණු කිරීමෙන් පසු පළමුවෙන්ම සොයාගත යුත්තේ කුමක්ද?,වෘත්ත පථයේ කේන්ද්‍රය
වෘත්ත චලිතය සම්බන්ධ ගැටලු විසඳීමේදී කේන්ද්‍රය දෙසට යොදනු ලබන මූලික සමීකරණය කුමක්ද?,$F = ma$
කේතුක අවලම්බයක (Conical Pendulum) සිරස සමඟ ආනතිය $\theta$ වන විට $\tan \theta$ සඳහා ප්‍රකාශනය ලියන්න.,$\tan \theta = \frac{v^2}{rg}$
කේතුක අවලම්බයක ආනති කෝණය ($\theta$) වැඩි වන විට වස්තුවේ වේගයට ($v$) සිදුවන්නේ කුමක්ද?,වේගය ($v$) වැඩි වේ.
බැංකු කළ (Banked) මාර්ගයක ඝර්ෂණය රහිතව වාහනයක් ධාවනය කළ හැකි උපරිම වේගය රඳා පවතින සාධක දෙක කුමක්ද?,වංගුවේ අරය ($r$) සහ පාරේ ආනති කෝණය ($\theta$)
"වංගුවක් ගන්නා මෝටර් බයිසිකල්කරුවෙකු සිරස සමඟ $\theta$ කෝණයකින් ඇල විය යුතු නම්, $\tan \theta$ සමාන වන්නේ කුමකටද?",$\tan \theta = \frac{v^2}{rg}$
භ්‍රමණය වන තිරස් මේසයක් මත ඇති වස්තුවක් ලිස්සා නොයන උපරිම වේගය ($v$) සඳහා ප්‍රකාශනය කුමක්ද?,$v = \sqrt{\mu rg}$
තිරස් වංගුවක ගමන් ගන්නා මෝටර් රථයක් ලිස්සා නොයන උපරිම වේගය ($v$) සඳහා ප්‍රකාශනය කුමක්ද?,$v = \sqrt{\mu rg}$
වංගුවකදී බස් රථයක් පෙරළීමට (Toppling) නොදී තබා ගැනීමට නම් එහි ගුරුත්ව කේන්ද්‍රයේ උස ($h$) කෙබඳු විය යුතුද?,ගුරුත්ව කේන්ද්‍රයේ උස ($h$) හැකි තරම් අඩු විය යුතුය.
"ස්වභාවික දිග $l$ සහ ප්‍රත්‍යාස්ථතා නියතය $k$ වූ දුන්නක කෙළවර $m$ ස්කන්ධයක් බැඳ තිරස්ව කරකවන විට, එහි ඇදීම $e$ නම් $ke$ සඳහා ප්‍රකාශනය කුමක්ද?",$ke = m(l+e)\omega^2$
බැංකු කළ මාර්ගයක වාහනයක් ලිස්සා නොයා ගමන් කළ හැකි උපරිම වේගයේදී ඝර්ෂණ බලය ක්‍රියා කරන්නේ කුමන දිශාවටද?,මාර්ගය දිගේ පහළ දෙසට
බැංකු කළ මාර්ගයක වාහනයක් ලිස්සා නොයා ගමන් කළ හැකි අවම වේගයේදී ඝර්ෂණ බලය ක්‍රියා කරන්නේ කුමන දිශාවටද?,මාර්ගය දිගේ ඉහළ දෙසට
